,source
Tadeusz Kolporterunderground,1
2016 d.20 He,1
1956 Ostrów leader,1
Trade Unions Trade member,1
independent opposition it,1
60 September conspiracy,1
70 othersProgram History,1
1951 born5 He,1
9 District Prison judgment,1
1951 Ostrów He,1
plants;1982 1983 priest Stanisław Jakubowski,1
1995 resocialization Chairwoman,1
1989 Vice President,1
Garmond Sp.z o.o,1
Adam Pleśnar,1
Hurtownician  manager,1
underground publishing it,1
III 1953 III She,1
11th  Map,1
Legal ZR he,1
1972 Albert Forster,1
1983;In Provincial he,1
1982 port employees).After he,1
Biuletyn Dolnośląski Committee Civic Committee,1
free employee which,1
2016 on29 He,1
fine;In District he,1
martial PZPR 1983,1
29 II 1988,1
1992 d.2 He,1
main  initiator,1
two Polish Republic,1
1949 born14 He,1
surrounding poster shares,1
S ShipyardsKomuny participant,1
next Regional Audit member,1
Unions Nszowiek president,1
vocational Witold Biernawski,1
Flyer shares,1
1983 St. VIII,1
1988 Scholarship Svèrige he,1
1964  Employee,1
work,1
Zygmunt Polanski,1
Free  ESEAY,1
2009 Secretary General,1
MO V WUSW,1
1929 born28 She,1
1990 hardware she,1
Home she,1
1989 VII He,1
IX 1959 IX He,1
1981  artist,1
-founder,1
25 . Adam assassins,1
beatified Józef Piłsudski,1
1938 Kuźnica She,1
where film screenings,1
12th Polityka Władysław initiator,1
I II 1989,1
international Polish Historical parallel,1
day OO Councilor,1
1981 WARMIŃSKA WARMIŃSKI Member,1
1937 Roman He,1
Secretary,1
Honorary  citizen,1
1956 Ludwik He,1
released.1984 removal he,1
organizer IX IV,1
Kwidzyn.1979  leaveMat.-Fiz.-Chem.(He,1
ZPW removed,1
2004 Aviation he,1
1980 Bureau strived,1
informal Weekly Mazowsze,1
1989  VIII,1
1940 Krzysztof He,1
1960  Frezer,1
1980 occupation KS,1
repeatedly  VII,1
31 Naval Office,1
1962 Stalowa He,1
1983  1987,1
1949 born6 He,1
Top Adolf He,1
12  January,1
Vice -Chairman Committee,1
Polskie,1
1982 opposition surveillance 1984,1
high school diploma,1
2018 d.15 She,1
Podbeskidz title,1
ING Polska Information,1
24 Nowy XII,1
14  1981–12,1
6 employment contract,1
Gurba Krzysztof,1
1981 Warning -,1
2001 Lech head,1
central Katowice He,1
1962 born22 graduate,1
1985 New Sanitary,1
1945  He,1
committee;1980 1981 committee;1980 Secretary,1
1953 zm.in United He,1
1981 XI 1981,1
29 toFor VII,1
2002 Wander Region member,1
1983 PAPSS Information texts,1
four Kamienna which,1
financial Kosovo support,1
acting television songs,1
Second Polish She,1
70 III She,1
22  II,1
academic Jagiellian aim,1
Alert graduate,1
includingIn . Ryszard she,1
othersIn,1
collected Wrocław money,1
quarterly Editor noteIndependent he,1
III Danka;24 KW,1
harder  graduation,1
Polish Academic 1988,1
2006  Electrician,1
5 III 1982,1
independent Solidarity »,1
5 III 1984,1
2008 Vice President Employee,1
1960 Nowy He,1
Republic Bolesław He,1
1982 released.16 XII,1
80  She,1
workers,1
1981 zm.17 He,1
step Katowice day,1
1963 Jarosław He,1
16  May,1
1955 Bielska She,1
1960 born29 He,1
indoor  He,1
1954 Kazimierz He,1
8 starvation IV,1
lumbar  He,1
23  IV,1
1981 Founding V,1
1982 tagnetophone 1987,1
Grade  Clerent,1
many car Activist,1
Decorated,1
underground Solidarity Agreement,1
1981 KS chairman,1
Discouraged Translation conflicts,1
1981  February,1
1980 Factory Committee,1
St. Mary Mostal,1
III 1942 III He,1
Antoni,1
worker).1974 1976 Again following,1
striking Huta Katowice.31,1
1986  Storage,1
now Władysław Ukraine).He,1
there Holy Co,1
1980 Stanisław founder,1
29 IX VI,1
still  guests,1
real Rafał life,1
1975,1
religious Dąbrowa rights,1
Solidarity Ziemia structure,1
1981 I Author,1
Janusz Czachorowski,1
2007 Wicestarosta Undersecretary,1
1981 WorkerIn Katowice Loader,1
1981 zm.16 TAM.He,1
1981 14 painter,1
2000 Exbud Skanska 2003,1
2001  plague,1
1988 EC recipient,1
1981 IX 1989,1
1982  Head,1
committee trade member,1
7 stool VII,1
1988 MRad he,1
Ryszard Rogoziński,1
observation course,1
Zbigniew Robert Rojek,1
Commission Solidarity press win;The,1
1989 WIP SB,1
1982 zm.3 He,1
1940 born14 He,1
Worker,1
1982 3rd case,1
Participant occupation XII,1
District Court 24 III 1993,1
Delegate Commission Mapnown,1
1981 I Głogów,1
1994 trade chairman,1
Andrzej Roman,1
born16 II He,1
1982  released.1982,1
1964,1
24  XI,1
there IT Casual,1
1950 Bielsko He,1
Helena She,1
1985  Collaborator,1
Irena Zofia,1
1969 Warsaw 1971,1
1980 Madrid she,1
legal defense which,1
2000 Poland Celliction Poster,1
Zbigniew Romaszewski,1
KOR trade We,1
twelfth Physica author,1
Winner Stanford 1987).He,1
30 Jacques Investigation,1
1948 born2 He,1
1953 born11 He,1
released.1984 1985 released.1984 Driver,1
1950 Alfred He,1
1978  1981,1
19,1
activists label I,1
Polish trade participant,1
Individuals trade he,1
Monography Political Prisoners,1
1978 Self Defense He,1
1929 K. Nowy He,1
Postal Postage which,1
1974–1982 Edward he,1
1949 Wojciech He,1
2  September,1
1980 strike 1981,1
Solidarność Nszowiek TZR,1
again Commission founder,1
1950 Gdańsk He,1
third Śląsko Dąbrowskiego he,1
2010 DHL he,1
26 Polish V,1
1949  Clerk,1
III IX Ministry,1
Janusz Henryk Rożek,1
temporary Social Self he,1
1991 MP Rzeczpospolita Polska,1
1982 remuneration internment,1
Main XII,1
1983  June,1
1970  Worker,1
unofficial  Secretariat,1
1947,1
1968  1982,1
14 Mera V,1
2004,1
80 trade This,1
day ROMETA crew intervention,1
entire  Bydgoszcz,1
1958 born6 He,1
1987  locksmith,1
1943 born14 He,1
Catholic reserve officers,1
1982 Lodz Solidarity 1987,1
1980 Hilary Jastak,1
1980 Connected Aid member,1
DepartmentDenominations,1
1967 Krynica He,1
"including""Beach Małopolski"";He",1
IX She,1
70 centrumio she,1
self government CombinanceHuta Stalowa Wola,1
second Lech participant,1
III 1951 Wielka K. He,1
second student participant,1
12 Katarzyna VII,1
1977 United -,1
1983 Eugeniusz Jankiewicz,1
clematives,1
1979 1.5 cop,1
Waldemar Parnach,1
1970 Energy includingChief,1
1987 independence organizer,1
1993  Lawyer,1
1981 d.18 He,1
there  He,1
4 III participant,1
Adam Flazieł,1
1989 Jerzy he,1
7th Parliamentary Chairman,1
Eryk Ernest,1
twice;ultimately Ibj court,1
1977  Casual,1
24  IIIA,1
1968 Railways Bielsko 1970,1
3 person which,1
so calledLojall.8 II,1
Adam Pieńkowski,1
1982 homeland;1982 1985 Chairman,1
25th Medal Heart,1
1982 Gwardian Monastery,1
pastoral Christian Culture care,1
biweekly OO Capuchins,1
Andrzej Piecki,1
1981 KS member,1
Rzeczpospolita Polska AWS He,1
1980 Gdańsk member,1
Mieczysław Piejko,1
independent I II,1
1981  EC,1
Marian Piekarski,1
martial  V,1
2002 Pienkowska She,1
1979 trade judgment,1
1981 Gdańsk member,1
Zofia  she,1
Geological Polish Geological member,1
1954 coal he,1
first Committee Civic Committee,1
Kurier secret trade Activist,1
1982 Co -,1
1988  1990,1
1978 trade proceedings,1
23 St. Maksymilian VII,1
KW Mo Sor Sheet,1
1950 born3 He,1
leading Maksymilian passport,1
independent publishing includingScriptures,1
1982 24 proceedings,1
2010 d.2 He,1
3 colleave V,1
1989  Delegate,1
1953  Afferent,1
patriotic White which,1
1950 Bartosz graduate,1
independent  SB,1
1997 Nowe he,1
Jerzy case,1
Gibasiewicz 2009);co owners,1
1980 II-30 KW,1
1981 Theological Contractor,1
underground  graduate,1
Władysław Piłak,1
1952 Henryk He,1
Czerniec.1976 Councilor Grn he,1
12th food he,1
second video He,1
agency.1995 MT president,1
III Jerzy 1982,1
1973 DYR.The National he,1
governing farmers Rural Chairman,1
1984  investigation,1
Bohdan Pilarski,1
Władysław Piksa,1
Mieczysław who,1
Jerzy Pilecki,1
III 1955 III graduate,1
1989 Voivodship Court,1
programmable Political lecturer,1
1970 strike participant,1
Arkadiusz Fabjanowski Arkadiusz participant,1
currently Grodzisk University,1
annual Zielona activist,1
1990 Mazowsze Agencies,1
high  participant,1
Periodicals Opole Vintage Author,1
1963 IX 1989,1
Radio program he,1
studio Polish Scene Member,1
1991 union Chairman,1
1941 on29 She,1
1986 publishing he,1
Repeatedly KW apartment,1
1982  Printer,1
1945 Sociology University,1
however  circumstances,1
1974 Provincial 1981,1
1982  interned,1
Polish justice;In chairman,1
150 Józefa people,1
operational SB which,1
1982 KW Meadow,1
KW MO WYDZV KW SOS,1
Krystyna Sławińska,1
1947 Lądek He,1
currently West Pomeranian University,1
1982  priests,1
1979  Editor,1
printed Szczepana Gacka,1
1981  case,1
2009 A Casual,1
approved Silver Cross,1
Stanisław Suchowolec,1
tragically  investigation,1
born24 He,1
Adam Sudoł,1
"7,000  people",1
1987 Grzegorz organizer,1
1943 Korcuszowa He,1
1988 WSK PZL Participant,1
1991 Works Chairman,1
1982  VIII,1
2010 zm.26 He,1
1988 Strike Participant,1
1978 Beloved he,1
trapped  organizer,1
KW MO VI Rusw Jarosław,1
10 Topic Inspection VI,1
1964  Teacher,1
1988 VIII she,1
1981 x Delegate,1
Witold Salmonowicz,1
Fire Scouting member,1
1934 Józef He,1
1977  Plastic,1
1989  originator,1
10  May,1
1988 anniversary celebration he,1
2nd  WUSW,1
J Eusebius,1
13 December XII,1
Andrzej Sikora,1
1945 born2 He,1
1987 student 1989,1
1984 Grzegorz perpetrators,1
1940 born24 She,1
1982 13 Participant,1
flat  which,1
30 IX 1988,1
1967 Dariusz He,1
VIII FMO trade 1981,1
catechetical Andrzej who,1
1952 on23 He,1
1983 Stanisław Sikorski,1
1958 Kalisz communication he,1
12th occupation distributor,1
Anna Samolińska,1
1964 Main Board,1
currently Koszlach k. Ukraine).He,1
1994 SC.In Olsztyn,1
together Janusz co,1
WatchIII crypt VII,1
1989 Catholic Intellect organizer,1
Individual Farmers Entrepreneurship graduate,1
borrowedPursuant,1
leaflet Bogdan He,1
Bogumił Janusz Sielewicz,1
1981 Gorzów Głogów,1
Independent Self Governing Trade Publisher,1
underground Stara Anna,1
Participant  initiatives,1
Władysław Sidorowicz,1
14/15 V 1977,1
1972 Municipal i,1
religious self employment they,1
1983  Priesthood,1
Underground press 1984,1
1947–1950  she,1
Katarzyna Sucheni Grabowska,1
new T. He,1
Edward Szczepko,1
1995 Belig he,1
1983 self employment.1983–1984,1
1991 Góra he,1
Edmund Szczesiak,1
1991 evening he,1
committee.11 Gdańsk XI,1
30 District XII,1
SOR,1
John III completion,1
political strike participant,1
1955 Zygmunt Henryk He,1
Lower Silesian She,1
20  May,1
III 1952 zm.23 She,1
Krzysztof Stefaniuk,1
1991  member,1
creators,1
in,1
1964 Tomasz graduate,1
then car student,1
Jerzy Adam Stępień,1
uncertain  unit).He,1
1987 zm.16 He,1
1985  1987,1
1991 COMMITTEE COMMITTEE COMMITTEARS,1
1948 Andrzej He,1
Zbigniew Szkarlett,1
1986 Department V WUSW,1
1981 Incial VI,1
own paper he,1
1955 born22 He,1
1996 Ethnographic owner,1
1 year He,1
charity organizer,1
additionally Provincial participant,1
general  following,1
1983 Polish he,1
S Lech participant,1
1994 Unknown we,1
Union Information S,1
independent Government Rzeczpospolita He,1
why  editions,1
1984 Śródmieście District Court,1
many Holy Curator,1
1943 born9 He,1
"Free Weekly Górnik"";It",1
interrogated warning talks,1
IX Journalists 1981,1
Anna Stawicka Kołakowska,1
Crypt Interregional Delegates Grobla,1
1955 born11 He,1
1980 Strike member,1
1967 state Vicer,1
1985 Leopold Lisowi Kuli,1
1981  oppositionist,1
Bolesław Domański,1
1988 Stanisław Cooperation,1
20 IX 1985,1
S Underground Action Participant,1
art income,1
1970 Gdańsk shipping employee,1
Regina Anna Stamp,1
27  IX,1
Repeatedly SB officers,1
9 Beach Participant,1
Suchowolca Jerzy case,1
1941 Busko He,1
Polish Sejm Poland 21,1
mechanical Documentation Legmet,1
restored Labor work,1
1980  Kolporter,1
1982 PPN 1987,1
informal initiative which,1
1950 State Examination he,1
forced  he,1
10 removal XII,1
1943 K. Busko He,1
1962 Cooperative Samopomoc Peasant,1
full Company member,1
1982 Information Bulletin,1
regular Solidarity he,1
Technical  worker,1
Technical Student school,1
"Review"".1958 1961 Fame 1971",1
1950 on23 He,1
1989 Transport Affairs,1
1927 Wasilków k. He,1
2009 d.4 He,1
trade unions election he,1
22 Advisor TZR Leszno,1
1990 television he,1
student Stefan listener,1
2 Provincial Hospital guide,1
1992  Delegate,1
III 1956 III He,1
16 Military XII,1
III 1925 III She,1
1981 MKOMISIA participant,1
1973  Goniec,1
"80 Gazeta Wyborcza"");also",1
1991 CKM Loran owner,1
diocesan  publication,1
inscription MO militia,1
few  times,1
1936 Biała He,1
early Solidarity Help she,1
Hanna Teresa Rytko,1
3 Warsaw Underground programs,1
1990 Vice - President,1
1985  This,1
1944 Vilnius National he,1
11 Supreme Court,1
Solidarity N Maintenance services,1
"underground  including""Warwall",1
III 1966 III He,1
1983  Collaborator,1
Ryszard Mieczysław Skrodzki,1
RelationshipProfessional Szczecin She,1
1985 Engineer Programmer,1
honored  badge,1
1982 crypt Delegate,1
1993 on31 Communication,1
independent warning he,1
1980 Municipal Journalist,1
editorial Individual she,1
1945 Bogdan Jerzy He,1
Małopolska He,1
1931 Zygmunt He,1
b.30 He,1
Solidarity trade union Coordinator,1
IX 1949 IX She,1
leaflet  printer,1
1986 I V,1
there Sor Den;1979,1
1955 born16 She,1
1984 information Departure,1
1988 District College,1
1980 Bureau Mommisja he,1
1983 Nowy 1984,1
Andrzej she,1
1981 Civic Committee,1
1938 on5 graduate,1
suspended Catholic Intelligence she,1
1986 term cooperation,1
11th  member,1
1950 Stanisław He,1
1989 Silesian University,1
1989 Local he,1
repeatedly Republican XII,1
criminal 1 proceedings,1
supervisory IX i,1
1980 Gdańsk he,1
4 onOn He,1
VI  1979,1
many Kazimierz Szalewski,1
technical  instructor,1
5 aid he,1
one Working Committee,1
distributed Dispersed Solidarity aim,1
1980 IX Przemyśl,1
1989  organizer,1
water Municipal 2007,1
1942  soldier,1
1982 Gdynia;15 Isolation,1
then European he,1
free Zygmunt August He,1
independent Zbroszy Big who,1
independent Jerzy connectors,1
4  1982,1
14 May VIII,1
7  attempt,1
writty Solidarność which,1
golden Medal Pro Memoria,1
1982 Kamienna 1984,1
1960  He,1
near Underground President,1
1947 Jerzy He,1
previously SB officers,1
S company he,1
1  VIII,1
then  organizer,1
Sławomir Sadowski,1
1948 born.5 He,1
voice  employee,1
Julian Sekuła,1
Dynamic Corp.- VP he,1
Polish  He,1
1981 Provincial delegate,1
12 FMO trade XII,1
1981 Wojciech spokesman,1
1990  Return,1
school information RMP,1
1987 Catholic detained,1
1 Dolmel Electric 31,1
1953  She,1
Started school investigation,1
Delegate self government;1987,1
1960  maneuvering,1
then printing 1988,1
original Field i,1
1.5 VI 3/4,1
1986 District Office,1
1941 born14 France).He,1
homeland;In opposition he,1
1956 Strzelce 1960,1
Andrzej Sawicki,1
Wojciech Samoliński,1
1981 FMO trade Letters,1
2012 zm.30 He,1
1989 member Committee,1
1936 Jan He,1
Arkady publishing Hoov,1
Secret Commission Warsaw represented,1
12 KS VII,1
1988 Polish he,1
1966  Elektromonter,1
1982 13 II,1
IX 1951 Wednesday He,1
participant Factory committee,1
1981 occupation 7,1
1980 co -initiator,1
1989  2001,1
2017 province Canada).He,1
lectist video He,1
preparatory  VIII,1
Janina Sidor,1
information  which,1
8 Włodzimierz He,1
2 years VIII,1
repressed Sejm Polish Participant,1
collaborator,1
III defender,1
academic ministry activists,1
1983 Stoczniowiec Sports matters,1
20 Strzelce 1955,1
2004 Tygodnik It,1
18  IX,1
1980  Department,1
formerly Stalowa graduate,1
together Krakow which,1
26 Tygodnik VII,1
2008 Bielsko graduate,1
Aleksander Eugeniusz Seniuta,1
where Gray he,1
1945 IX 1945,1
1990  Chairman,1
24 strike XII,1
Renata Sanak,1
imprisoned Bielsko Bishops,1
1953 born22 He,1
French includingThe International Center,1
1988 trade President,1
National Theater Kazimierz Participant,1
Kolporter Underground eg courier,1
1980 Working which,1
departmental member Committee,1
1989 Vice - President,1
Los he,1
national Warsaw section,1
1983  arrest,1
1932 born25 He,1
1988 Lower he,1
conditionally Casual includingHe,1
criminal  He,1
Jan Antoni He,1
1980 Factory founder,1
23 IX 1989,1
then day Organizer,1
IX 1988 IX participant,1
70  Author,1
several Search times,1
informer Catholic member,1
Waldemar Jakub Szczurowski,1
multiple XII revisions,1
Jan Papina,1
Mechanized  engineering,1
well Solidarity Jeleniogórska TZR,1
Kazimierz Orłoś,1
1989 strike Author,1
Military Military Cross,1
1982 Rzeszów.29 Isolation,1
1980 collaborator Committee Committee,1
1980 Adolf Chairman,1
1991 zm.17 He,1
then POLKAT plant,1
Council Supreme participant,1
photographic Solidarity he,1
5th  councilor,1
Romuald Marek He,1
1982–1989 St. Council,1
K. He,1
1987 Enterprise Road member,1
1989–1993COMMISSION COMMISSION Delegate,1
Solidarity IX Author,1
1985 General Republic,1
Andrzej Stachyrak,1
R trade which,1
COMMUNITY Trade Chairman,1
12 III 12 Isolation,1
1988 Co -,1
1985 window Author,1
Democratic DAW disease,1
S  Committee,1
subjective Literary novels,1
1997 Human he,1
Bratniak  he,1
thanks WSM Nicolaus Kostecki,1
1982 Gdańsk 1987,1
1948 Adam Mickiewicz,1
1984 International -,1
1974  1977,1
2010 d.20 He,1
IV 24 IV VII,1
second Pedagogical he,1
1997 Phare Lien we,1
Szaniec National Independence he,1
2007  He,1
Eugeniusz Opaki,1
again CSK ŚAKADEMIA he,1
degree EKLAWA publishing EC,1
Military  service,1
1994 STALL 1998,1
1980 Department;In which,1
2006 trade Councilor,1
"including""Tis Tygodnik lecturer",1
Instructor,1
1958 Bystrzyca He,1
1988 IX he,1
1992 Gdańsk organizer,1
independence organizations,1
KS MO KS SUSW,1
1989 Polish Academy,1
DYR.And Social High School,1
1977  1989,1
1958 Nowa He,1
printing materials;A documentary photos,1
2011 zm.14 He,1
1967 Music 1971,1
organizational Polish Republic,1
1982  which,1
1960 born5 He,1
4 III 1983,1
activist  S,1
1948 Jerzy He,1
1 company 1981,1
1977  Mechanic,1
Virgin Mary.1987 he,1
1991  President,1
trade he,1
1979 Bogdan he,1
1976 ShapingThe idea,1
1946 Gniewczynie He,1
twelfth Artificial Fibers Worker,1
together  he,1
9 WYDZV KW,1
most SKS He,1
underground section he,1
2010 zm.12 He,1
1945  1951,1
trade union activist,1
electrician mechanic,1
Adam Socha Adam what,1
1963 on18 He,1
Mirosław Wojciech He,1
1955 Claims K. He,1
repressive  XII,1
1981 Mielec.1980 delegate,1
Andrzej Osnowski,1
1948 Ostrów He,1
1958 Starogard He,1
2003 Referal lecturer,1
1991  Chairman,1
high k. He,1
Chain Factory screws,1
Załęże K. -,1
1956 Olejnik He,1
Committee III which,1
called Paweł member,1
Regional Konin 2010,1
1989 Bielsko participant,1
V Layout-2;5 WOG,1
1989  head,1
1989 Slow Word President,1
MO  which,1
twelfth street participant,1
2010 d.30 he,1
1944  Soldier,1
1972 Poviat National she,1
librarian  head,1
1981 court process,1
1961 Bogusław He,1
"UP.From et Lege"".1993–1996 he",1
1982  Designer,1
local Zielona that,1
13 Zielona VII,1
directortechnically Czech He,1
Władysław Papużyński,1
1940  I,1
patriotic Solidarity Choir,1
1995 Stalowa carer,1
common  he,1
independent Andrzej Group,1
toPolish,1
inverted chair;wife attorney,1
own  garage,1
1994 Tadeusz activist,1
Translator Bernhard What,1
Andrzej Rafał Patyra,1
1987  he,1
S  Chairman,1
1966 on13 He,1
1957 Polish Hunting he,1
1952 Tomasz He,1
free Ryszard construction,1
Grzegorz He,1
14  IV,1
free Signatory Author,1
includingRadio family Mediator,1
1981 Holy 1989,1
preaching activity,1
currently III He,1
1961  Locksmith,1
1985 VII XII,1
1982 Krajowy Lower 1988,1
first Lesser Poland founder,1
striking day solidarity i,1
Józef Orzeł,1
Jadwigi DAW,1
1996 Vice President,1
17 III 1986,1
1948 Kamienna He,1
29 Copper VIII,1
1976  Railway,1
4th State that,1
10 million Pralat Teofil Bogucki,1
Catholic Discussion activity,1
1990 trade head,1
brown II KW,1
Janusz Okrzesik,1
1958 Worker Works,1
1984 Blessed Virgin founder,1
Radio Robert participant,1
tragic Krzysztof He,1
Hutnik Sports Club letter,1
Cracow branch Solidarność,1
Janina Ochojska,1
Polish which,1
work  Casual,1
Business Technical ROP,1
monthly  letter,1
30 and-28 VI,1
Elan Central They,1
1998 Andrzej He,1
Piotr Andrzej Ogrodziński,1
electoral Civic Committee committee,1
1940 born20 He,1
3 Prison.1982 1990,1
12  1982,1
1985 Szymon he,1
1950 born24 He,1
1949 Grzegorz He,1
5  1988,1
1983 Club Zagłębie Lubin,1
29  VI,1
1941 Andrzej Roman He,1
Chairman Instary Commission,1
18  1982,1
1985  Member,1
22 chemical VII,1
1945 Lech He,1
1987 Communist Armed Mechanic,1
1992–1997 printing Work,1
1983  May,1
1981 Stefan he,1
24/1982,1
2017  He,1
1990 Universal Food Kronifier,1
Solidarity Dignity Solidarity,1
1972 Mater Nostra Ert,1
1953 on11 He,1
committee Factory member,1
S UKF he,1
Polish emigre He,1
1980 Working Co,1
10 IX 1982,1
9 Mirosław He,1
IX  Member,1
Repeatedly stopped.4 IV,1
1946 born28 He,1
1982 contact group,1
1982 Underground SB,1
1981 Factory Lecturer,1
17 Stanisław December,1
1983 III Court,1
Witness Jerzy Klata,1
now Zygmunt Ukraine).He,1
second demonstration member,1
there Relationships initiator,1
23 V VII,1
then Center President,1
Syndicate;11 WatchIIIa KW XI,1
scientific Catholic he,1
President Rzeczpospolita Cross,1
martial Freedom Justice shooter,1
educational trade there.1982–1989,1
1994 Gorzów Chairman,1
Nowy Fish K. She,1
1986 Policy Meetings,1
Christian repression acturer,1
1990 Międzycadowe V,1
V 1984 V Judgment,1
2008 Sp.from Employee,1
1981 Józef name,1
1983 State family,1
2017 born6 He,1
ABC conspiracy that,1
1960 born14 She,1
French la she,1
grade renovation planner,1
Jan Szczepańczyk,1
political Jan Dialogue,1
III 29 8 III May,1
temporary commission Independent Association,1
III 1951 on30 III He,1
1957 Marek He,1
independent print Kolporter,1
Poland.1983 1986 Technical Erectors 1986,1
Soldier,1
Halina Suwała,1
leaflet Underground Multiple,1
newsletter,1
publicly US he,1
scientific  articles,1
1960 b.3 He,1
ecological  marches,1
1989 Fame 1954,1
trade unions trade Solidarity,1
1947 Leszek He,1
typewriters pocket tape 1987,1
1956 on1 He,1
Wiesław Szczepanowski,1
Poland.1992 1993 Urm Urm councilor,1
Science Higher Education Author,1
. Information Website,1
dedicated J. Popiełuszka;Co authors,1
Meanwhile Bulletin He,1
1931 UHERER K. He,1
Soviet Mechanic Technik,1
conditionally amnesty;After he,1
repressed calledTelevision Employment,1
also 54 PLN,1
III 1980 III He,1
1941 born22 He,1
Universes Universes,1
chairman S Lech participant,1
human John Paul Rome,1
Krzysztof Stanowski,1
Teams unprotected Environmental Teams Kawisza,1
Members,1
1958 born24 He,1
19th Ryszard what,1
1982 hospital ward 7,1
21 Mała graduate,1
documenting Dekanatach documents,1
priests,1
26  VIII,1
1998 Karol He,1
subsequent  he,1
1980–1981  co,1
domestic District Court,1
Mo crypt DUBLER,1
Club Melbourne;Co Distributor,1
Second Residential member,1
pastoral Edward Frankowski,1
unrealized National purpose,1
1970 Metrology helper,1
1980 Intermediate Strike we,1
2007 Wielkopolska i,1
currently Facebook www.solidrosc25.g.pl,1
23 III 1985,1
Committee Cabin Construction He,1
Polish Slovak Member,1
Tadeusz Stanski,1
1990 Catholic University,1
2008 zm.19 He,1
1979 editorial IX,1
payroll management,1
22 Bielsko XII,1
Diary,1
1982 day hunger Chairman,1
1955 Olgierd He,1
1979  he,1
1981 intervention he,1
governmental Central organizations,1
underground liaison one,1
2006 born20 He,1
Jędrzej Smulkowski,1
16  IV,1
16 PKS XII,1
1984  1990,1
3 prison He,1
1992 Honorary Holy Father,1
1946 Grażyna She,1
1980 Toruń Region;From she,1
pastoral Church she,1
second AŚ participant,1
affiliation Free Trade he,1
1988  Publisher,1
1981 Gdańsk initiator,1
most S. common);Author,1
1978–1982 Medical collaborator,1
Sławomir Soból,1
together Janusz we,1
conservative Warmian Initiatives,1
1990  I,1
1961  Student,1
1982 Casual 1989,1
27 VIII 1980–1984,1
2001 Democratic he,1
Stanisław Władysław Słowik,1
commission.1992 1993 Disabilities he,1
21 XII 1982–30,1
1949 Andrzej He,1
pastoral Andrzej Bobola,1
52 Polish Scenes initiator,1
1997 KPN he,1
12 IX 1989,1
15 Warsaw Military 1984,1
together Piotr he,1
1967 Square electromoomer,1
second invalidity Isolation,1
first Bialystok December,1
2020 d.25 He,1
1975 Remontowo Montaic,1
social VIII income,1
Sławomir Dominican,1
1981 student he,1
1987 Lech He,1
20 Tri VIII,1
scientific William J. i,1
1950 born5 He,1
1944 born11 He,1
1980 1981.Factory Commission,1
1982 Trade Participation,1
1979 TRADE he,1
currently  She,1
24 SOR KRPT.Market;29 XI,1
1947 Maria She,1
underground Sędziszów Solidarity,1
students Text co,1
Ignacy Tokarczuk Catholic member,1
1992 Close 1993,1
26 KW V,1
1956  1960,1
raised student he,1
academic Petitional Signator,1
2002 Jerzy Councilor,1
1918  Poland,1
parish Andrzej Boboli,1
1980 Adolf Warski,1
1989 Cooperative Bishops,1
1991 Mieczysław He,1
strike participant,1
public construction Council,1
thought publishing case,1
special  Gospel,1
Uncaptive Radio Free originator,1
editorial Warsaw.1980 head,1
1938 zm.21 He,1
1981 Prescribing texts,1
11 year VIII,1
1939 born7 He,1
15 strike XII,1
1944,1
1981 Warsaw Author,1
1986 Club Lech head,1
24 Darłówek.8 VII,1
Union Tygodnik He,1
1984 Novum Jagilarski 1989,1
1940 born3 She,1
1995 SECRETARY COMMISSION Chairman,1
1983 factory VI,1
Committee Technology S,1
Ryszard Toczek,1
1995  Head,1
pastoral  He,1
constant Jasna authorities,1
1966  He,1
1983  flat,1
1985 Military Garrison Office,1
retained aid II,1
1980s Ostrów he,1
2012 zm.28 He,1
IX 1924 Saint He,1
1981 ABC collectivity son,1
1988 home printing house,1
1990 Le She,1
Polish Western son,1
Western  people,1
1964  trainee,1
2006  He,1
1980  1983,1
1979 Historical signatories,1
Polish  which,1
1986 Social Study member,1
Secretary Institution Delegat,1
vocational III school,1
1976 State Machine he,1
Repeatedly  revisions,1
1945 Barbara She,1
Trade Union » Chełmskie Bulletin,1
1989 7 III she,1
18 Worker XII,1
1947 M. Glova He,1
1982 Gazeta member,1
V 1982 II,1
independent film producer,1
1988 Spring Father,1
Piotr Jakub Szwajcer,1
also National Publishers;Manually,1
1954  ZSRS).He,1
organizer Intermediate member,1
1988 IX 1989,1
Occupational strike organizer,1
Lublin he,1
K. Zielona He,1
there Military judgment,1
28 Military VII,1
2009 National he,1
III 22 IX 1982,1
Stanisław Szwed,1
2000 Bielsko Member,1
1953 Ostrowiec He,1
11 W ZK IV,1
main Cotton Industry Marchlewski,1
currently m. Belarus).She,1
various  official,1
Laskowski Roman,1
1981 XI -Walk,1
free word member,1
13  IV,1
Maria Wyrwich Łukasiewicz,1
local government journalist,1
Łagier Jaworzno,1
Grade I II,1
organizer co employee,1
1983  -,1
1960 born2 He,1
sets);A Warsaw Habilitation,1
where Co he,1
World War soldier,1
ordinary  He,1
1987 term he,1
12  October,1
1987 trade 1989,1
Tomasz Zieliński,1
1980  Member,1
1988 KPN representative,1
S Świdnicka Chairman,1
1992  Employee,1
Committee member S,1
1986 Supreme he,1
2005 National Stadium,1
1994 Management Employee,1
civil Primary Aid she,1
III 1981 Region Pilskie Voivodeship,1
Roman Crylic,1
1974  Organizer,1
honorary Tykocin canon,1
