,target
9 Energobloko Coast,1
stood UM Sweden,1
1993 on31 Konin,1
then Youth Socialist,1
complex KW Konin,1
1 OI Tomek,1
1988 Polsped Freight Cooperatives,1
S Vice - 1996,1
pastoral medical Gdańsk,1
then SB Jarosław,1
strike medical student strike academy,1
related OO workplace,1
energy technician,1
300 underground publications books,1
1993 Adam Poznan,1
KGHM transport .,1
1981 ZR Lower Silesia,1
1986 Social Wrocław,1
there SKS members,1
1988 Central Szczecin,1
high  Zakopane,1
o.o . JHP Holding,1
John Olszewski,1
MCC Center,1
fourth  year,1
Management Legal Department,1
social  repressed,1
particular Incident 1992,1
Administrative Torus railway Gdynia,1
2006 Port Gdańsk S.A.,1
Sustainable opposition activists,1
WZD 1st Plant,1
Solidarity S. December,1
Commission  S,1
2000 Polish Humanities Foundation,1
senior Polish verification,1
80 United States,1
construction Krzeszowice,1
cooperative Carpentry Krakow,1
carpentry,1
1979 Małopolska Solidarność,1
vocational  1977,1
1981 Social Covenant Szczecin,1
2010 Letters PO,1
Mining Stalowa Krakow,1
SOR KRPT.Distributor,1
suspension sentence,1
responsible trade union communication,1
Solidarity Individual pension,1
Gardening Tarnów,1
Cathorts Warsaw,1
camp,1
Polish Independent Letter,1
1992 Przemyński Ordinary,1
currently Movement Moral Change,1
independent Poland Rebirth,1
SO Untouchable;30 crypt,1
following Warsaw Czechoslovakia,1
S law committee,1
1988/1989 Study Jagilarski University,1
Minsk courses,1
historical Academic OO,1
Szczecin Catholic Club,1
Caritas,1
48 Dzch Silesia hours,1
PSZ students,1
underground Social letters,1
fundamental Kamienna Góra,1
there.1980 Solidarity copper,1
1989 Car Jawor,1
mining technician,1
2011 Individual Krakow,1
vocational  Pruszków,1
2003 port pension,1
Second High Gdynia,1
1990 Laboratory glass blower,1
trade union trade Katowice,1
round  farm,1
1984).A Higher Pedagogical Rzeszów,1
1989 Historical Historical homeland,1
1995 Lviv Eagle Cemetery,1
KRPT.Writers KW Morena,1
14 Professional Niejzek,1
rural  solidarity,1
1943 Warsaw Technology,1
S money repressed,1
1951 Gościków Paradyż,1
secret Khrushchev unit,1
Mechanical Schools Tam,1
S Catholic Intelligence Wadowice,1
p. III EC crypt,1
Basic Vocational Kowal,1
independent folk movement,1
founding Aid Aid structures,1
Basic Vocational Świdnica,1
Mommisja Western Information Agencies,1
20 III 1982,1
2008 Vice GMCC,1
electric  Olsztyn,1
1986 trade Gdańsk,1
mechanical  working,1
unsuccessfully  pension,1
Azotowe Kędzierzyn Kędzierzyn Koźle,1
independent Lower Wałbrzych,1
months Dariusz prison,1
KW Lublin,1
1 District prison,1
1989 Economic School Complex,1
2007 Rzeszów truth,1
latest Rzeszow Ustrzycki agreements,1
Rzeszów agreement,1
round table session,1
academic Antiquory Jarosław,1
1989 craft plant,1
2011 Public Finance Committee,1
crypt death,1
2  SG,1
Junior High France,1
Western Daniel Olbrychski,1
manifestation;Repeatedly  V,1
Trade Technical Sopot,1
1981 Aleksander cooperation,1
PISM  Window,1
1989 EGO France,1
released.1984 1989 Starogard Tczew,1
Christian Culture Krakow,1
Winner Krakow Culture,1
Winner Polcul Foundation Award,1
also  WLK.Britain,1
Inspectorate II SOR KRPT.Boss,1
2007 Nowy Sącz,1
Charity Primate Stefan Wyszyński,1
technical  Sanok,1
2005 Polish Radio,1
1994 family Warsaw,1
Information  line,1
1989 FacultyV crypt,1
1945 UniversityA. Philology,1
biographical Rzeszów encyclopedia,1
vocational Kamienna Góra,1
1989 H. Strzyż,1
1978 Political Warsaw,1
1981 Radom Colleges,1
underground house Publishing Profile,1
Publishing Profile,1
committee  Lublin,1
2000 Konrad Adenauer doctorate,1
"Italian S"";In Energetyka",1
1979 St. Warsaw,1
1989 deputy chief,1
Represented Szczecin Szczecin,1
past  1933,1
independent discussion 12th,1
2002 Voivodship 2003,1
1981 KW Przemyśl,1
1940  Przemyśl,1
1 WIP month,1
philosophical Sędziszów Małopolski,1
1988 Gorzów Wlkp,1
3 V demonstration,1
Lubricating Economy).Since,1
1975 SOR crypt,1
joint Medical region,1
Law Commission S,1
Jastrzębie  wide,1
Service Bielsko Biała,1
technical Lubycza Królewska,1
1943  Krotoszyn,1
Second ZR Wielkopolska omnego,1
Polish Czechoslovak Solidarity,1
social Polish economy,1
underground Tygodnik Mazowsze,1
internal  life,1
polygraphic Piotr Poland,1
technical  Malbork,1
1980 Incident Committee,1
Dekarski  champion,1
illegal  Przemyśl,1
11 Ego Rzeszów,1
1982 car accident,1
search;1986 Eugeniusz money,1
Foreign Affairs,1
Nowy Dziennik,1
Polish Factory Szczecin,1
detained  intimidation,1
1979 union work,1
1995  Częstochowa,1
days);1992 1995 days);1992 Kozienice,1
independent  camp,1
1981 Working Delegate,1
1988 Blessed Virgin Novgorod,1
Szepietowski 2016,1
classical University studentBolesław philology,1
Polish State Kotlin station,1
Factory Committee,1
expensive Kazimierz Jarocin,1
demonstrations,1
Polish railways Cargo SA,1
Performing John Paul wood,1
vocational  those,1
1982 Port Gdańsk,1
1936 Nicolaus Toruń,1
Secondary Rzeszów,1
80 Jasna Góra,1
1989 Physisja ŁZPS,1
retirement WZD 2003,1
Siedlce EC Krypt,1
1953 Częstochowa Technology,1
1981 Mazowsze region,1
revisions Solidarity apartment,1
Home Army Union Army Syców,1
1952 Maritime School Tamż,1
later el crane,1
eastern  chronicle,1
underground Copper Zagłębie,1
vocational Nicolaus Legnica,1
Repeatedly Polish Socialist Party,1
Region,1
KW MO SOR KRPT.Landlord,1
legal Rural Krotoszyn,1
same Jan Zuchowski,1
Individuals Governing Trade Poznań,1
governing trade retirement,1
own Local Government business,1
responsible printing machines presbytery,1
post -graduate Office Polish Warsaw,1
orange Miedziek Wrocław,1
Overdose Agency News,1
1989 Górowi Stryjewo,1
martial Region Pro Patria,1
Senate Warsaw,1
editorial RES Publiki,1
worker trade union workplaces,1
common Eine Polnische Communism,1
2011 Jewish Historical Institute,1
2003 Eine Polnische communism,1
2013 Gregland canon,1
organizer Jasna Góra,1
medical Military Housing structures,1
technological discussion staff,1
Borze trade union activities,1
monetary Kędzierzyn Koźle;1983 families,1
mining Polkowice Lubin,1
Sight Przemyśl,1
1967 Own Farm Farm,1
Polish Thought,1
internal Polish Affairs,1
IX 1957 Nicolaus leaveRights,1
Fruit Processing Plant,1
2007 Victorius PO,1
Toruń.1988 1989 Company o.o,1
wide  slate,1
technical metal plants,1
1980 Staff Council,1
interrogated  apartment,1
agricultural adoption Kalisz,1
Independent Self United States Bydgoszcz,1
vocational  Lipno,1
Agricultural Individual Norway,1
Catholic Jadwigi pond,1
technical  Gdynia,1
Solidarity Polish Washington,1
14 SOR KRPT.The records,1
4th Polish Stage Artists,1
48 Coast revisions,1
rotary home house,1
1997 Art Promotion retirement,1
2005 Biały Freedom,1
paradise,1
MO EC KRPT.Politician,1
high mining Głogów,1
Polish Army,1
long power Gdańsk,1
homeland John demonstrations,1
two West restaurants,1
S Professional Nystezek,1
S Provincial Combined Piła,1
again Zabrze Katowice,1
shock absorbers Krosno,1
1951 Wolska Radom,1
1988 Wolska Dąbrowa,1
Pomeranian Military Treasury,1
secondary High SchoolNicolaus Sopot,1
then Solidarity Coast,1
many  letters,1
Solidarity ZR Presidium,1
Solidarność trade JSP,1
letter  prostitution,1
Repeatedly December ̓70,1
so  settlement,1
private John Paul audiences,1
professional Camping Camping nyes,1
reflective Mexic Council,1
Time Poland Rebirth,1
also Andrzej Wajda Hope,1
1980s,1
then Oświęcim fine,1
SOR KRPT.Sawn SOR pensioner,1
S IX Poznań,1
1987 home Poznań,1
Gdansk Oliwa,1
long  string,1
Integrated Rescue System,1
DepartmentRights Reserve Elbląg,1
S Świdnica 1998,1
"including""Lębork coordination worker""",1
1980 Fabryczna Commission,1
temporary anniversary Warsaw,1
1985 Polish Warsaw,1
then Slow Word Association,1
political trade processes,1
2010 World War Gdańsk,1
Professional Neviles,1
1955 Skłodowska University Pedagogy,1
democratic trade congress,1
1986 Zakładowa Health Service,1
mechanical  Sanok,1
striking Stalowa Wola,1
new trade publication,1
Polonia Nowa Huta,1
documentary film,1
1989 Social Science Committee,1
graduate Jagiellonian Krakow,1
high  Przemyśl,1
currently fiberboard fibris SA,1
public Maria Curie administration,1
private company underwear Bielawa,1
Textile Bielawa,1
1989,1
refractory Radom materials,1
underground Council Krajowy letter,1
law Word.1987 S,1
past,1
Maksymilian canonization Rome,1
special  1999,1
artistic Jerzy events,1
1989 SOR KE KRPT.Actor,1
retirement Oleśnicka Land.1990 2002,1
available  library,1
Brother Stanisław,1
Catholic Intelligence Głubczyce,1
22 state VII,1
then Xliv High School,1
1978 Self believers,1
Mokotów Circle,1
private 5 company,1
collective Tygodnik othersIn,1
1983 Kraśnicka 1984,1
2 Polish TAM,1
1946 Catholic Lublin,1
independent Res writings,1
"notebooks"".1986 1987 Scholarship holder",1
Solidarity Siemianowice Śląskie,1
2001 Archdiocesan Catholic Szczecin,1
medical Medical sciences,1
16 ThroughoutThird SOR,1
Christian trade Poland,1
independent discussion Łódź,1
independent  Poland,1
POLCUL Foundation Poland,1
repressive Organizer withdrawal Fund,1
Sandomierska ZR.Since,1
Kętrzyn,1
1983  Żm,1
State Technical Lublin,1
1981 trade unions Chełm,1
1989 Górnik Sports Wałbrzych,1
student  1968,1
fine violence Non punishment,1
then Working Committee,1
1990 discussion club,1
Szumowski S.C.in Cracow,1
100 television Son,1
1959  Warsaw,1
also National Underground,1
CIS,1
public Gdańsk administration,1
1989 union pluralism team,1
2006–2011 Remontowa Shipbuilding Gdańsk,1
SOR KRPT.Company,1
beaten  people,1
cardboard -prepared artist Wojciech writing,1
white protest Marchlewski,1
80th Human Rights Szczecin,1
1955 CollegeAndrzej Frycza Modrzewski,1
1994 Catholic Action,1
13 Ostrowiec Świętokrzyskie,1
1988 Andrzej Gorzyce,1
1992–1996 Federal retirement,1
1986 Mr. V EC,1
1980 Polish Teaching Circle,1
1981 Lublin High Schools,1
Committee Lublin Lublin,1
vocational Kamienna Kamienna Elbląg,1
1941  Law,1
legal advisor office,1
1945  Warsaw,1
Repeatedly Jasna searches,1
mechanical  Kępno,1
permanent Father Stefan employment,1
Dudkiewicz Los Greelus,1
martial state LPR,1
1981 Primasual Social Council,1
organizational Lech Wałęsa,1
2007 Board Warta o.o,1
SOS SOR KRPT.Statue,1
Professional Niejrezek,1
1987 SOR KRPT.Casino,1
mechanical  Puławy,1
1972 crypt sauce,1
Wrocław communication Semaphor,1
diagnostic Libya Derna,1
KM MO EC Krypt,1
Research Czechowice Dziedzice,1
building Czechowice Dziedzice,1
Befama textile machinery,1
club;2000 2001 Deputy Senate,1
graduate Pedagogical Therapy,1
1981 W River ZR,1
diocesan Tri magazine,1
rail technical Ostrów Wlkp,1
Polish Władysław Bukowiński,1
1989 Group Participants,1
"then including""Worker provinceSłupsk",1
diploma evening,1
currently Foundation Board,1
SOR KRPT,1
1989 company vice SA,1
2007 NSBM housing Warsaw,1
1952 Nicolaus Toruń,1
independent Witold Gombrowicz,1
pastoral Catholic Intelligence homeland,1
outIII SOR crypt,1
1928 Jagiellonian Krakow,1
then Polish art,1
care hiding activists,1
medical Gdańsk Shipyard,1
that,1
parliamentary Parliamentary elections,1
1 warning V.,1
committee ZT FSM,1
Solidarity Podbeskidzie,1
Currently Education Wieruszów,1
Mechanical Gdynia,1
1984 Kosakowo dairy plant,1
technical Master Master Diploma,1
middle Zakład overhear,1
Working 1995,1
. hab Catholic Lublin,1
pastoral Holy Trinity,1
III Szczecin Technology,1
KW MO EC KRPT.Turban,1
historical essays which,1
KS MO EC KRYPT.Rooster,1
illegal Szczecin Świnoujście.1,1
high Adam Tczew,1
superiors,1
own Polish PiS.,1
EC SOS crypt,1
Poznan 1969,1
Consultation habilitation Poznań,1
1981 W Scha ZR,1
11 III 1982,1
1981 Lower Silesia,1
RS 1998,1
underground Radio Słowik,1
electric Ostrów Wlkp,1
repeatedly Trade MO,1
second Social Science half,1
degree Catholic Intelligence Warsaw,1
Sacrosong Krakow,1
satirical Port ports,1
underground information bulletin,1
SOR KRPT.Kobra SOR service,1
Pen;posthumously Golden Merit,1
weekly annex).1984 Wybrzeże,1
1996 Szczecin Technology,1
1961).1961 1963 Primary Inner,1
1960 UniversityAdam Poznań,1
K Kalisz,1
Konin,1
lecturers,1
interned Podlasie Bialystok,1
wrong Pop Unit,1
operations,1
48 Christian Political revisions,1
DepartmentIII A SOR crypt,1
Construction Rzeszów,1
employee housing,1
Relegisis Working them,1
then  Gołdapi,1
deserved Gold 1990,1
S Anna region,1
1952  Wroclaw,1
1985 Gdansk Wrzeszcz,1
Pijar Krakow,1
1980 Craft Gdańsk,1
1981 ZR information,1
1981 retreat Strzebielinek,1
Polish US pension,1
1940 Poznan Technology,1
then Movement Action PiS.,1
independent Independent Student letter,1
Ownership Stargard Szczeciński,1
independent Szczecin meat newsletter,1
member Provincial Sejmik,1
Valley,1
legal  act,1
Repeatedly Szczecin searches,1
technical  plants,1
when trade printing,1
free trade Gdańsk,1
young art WIP,1
journalistic police Krakow,1
13 Poland XII,1
2008 Technobud Warsaw,1
graduate Adam Poznań,1
S Catholic Intelligence Kalisz,1
public WSK activity,1
2003 Sokołów PiS.,1
1947  2002,1
religious Blessed Virgin Świebodzin,1
then Catholic art,1
25 occupation KS,1
pastoral St. Stanisław Kostka,1
social bakery Szczecin,1
- organizer Catholic Intelligence Poznań,1
editorial Art Critics Association,1
here Polish Vienna,1
1983 year State,1
1979 FSO Warsaw,1
mechanical Vocational School Świebodzin,1
3  apartment,1
independent  De,1
"University Academy"".10 XI Information",1
Western Pomeranian Sejm,1
thermal capital energy,1
1974 Nicolaus PhD.,1
radio Social Toruń,1
1990 Polonia Restituta,1
vocational  Pułtusk,1
leaflet football Chorzów,1
1980 workers S,1
religious St. Jadwiga,1
one time person,1
Mrs. III EC,1
1954 Main Warsaw,1
national trade education,1
underground Pro press,1
1478 Nowa outz,1
Management Board II,1
Gazeta Polska,1
owned UKOMistka monuments,1
1980 Factory Committee,1
Committee Self Solidarity,1
1983 District detention,1
1993 Self 1996,1
Dignity Gdansk,1
this;2006 2009 Board WSK retirement,1
Biology Earth them,1
1994 Young Zegrze Foundation,1
1988 Aerodynamics Laboratory,1
2010 Beatrice Inn,1
Key Technical Bydgoszcz,1
repressed Underground publishing persons,1
1990 traction;A Radom,1
Hutnial Polish Tamż,1
1989 National Gdańsk,1
Railways Rencists Lublin,1
Lubanie Śląski,1
2009 Parliament Józef Piniora,1
1989 ECCO sp.z,1
journalists,1
Kolporter coast others,1
young Ignacy Paderewski Institute,1
oasement Krakow,1
2000 Tygodnik retirement,1
Metallian Salesian Łódź,1
Hutniki Huta,1
Again  i,1
1992 Polish Scene retirement,1
Medal Meritorious Solidarity Region Małopolska,1
1989 Sor Committee,1
1953 Polish Philology,1
3 Provincial years,1
Social Dialogue Mazovia,1
EC KRPT.Andrzej,1
renovation Polonia Foreign Kutno,1
25 protest Australia,1
Central St. Wrocław,1
1981 Sor Krypt,1
School Student State School Łódź,1
11 XI Gdańsk,1
irreversible kidney damage,1
1982 SOR KRPT.Pirania,1
2003  habilitation,1
1978 Flying University,1
continuous Informator work,1
2009 Lower retirement,1
several Electromontal Workers Committee,1
S ZWCH Elana,1
1983 years custody,1
responsible intervention Congress,1
work Gdańsk,1
1948 Catholic psychology,1
Kolporter Solidarity Tczew,1
1920 OO monastery,1
Poland Republic,1
pomet,1
permanent Poznań 2013,1
honorary Poland Solidarity,1
FRACHT transport company,1
polygraphic Jarosław apartment,1
1988 Kraków Nowowa Huta,1
1989 youth assemblies,1
martial scout law).In,1
scouting Catholic 2015,1
Commission Bielsko S,1
secretary Rzeszów Surrent Agreements,1
1986,1
2011 Water Rzeszów,1
SO DepartmentVI crypt,1
legal Poviat counsel,1
packaging strike port,1
1991Provincial Center retirement,1
1969);A Lodz,1
then Gdańsk altitude services,1
special Czerwony Borze,1
Academic St. Stanisław Lublin,1
Academic Tomasz Krakow,1
social Catholic science,1
III SOR registers,1
1980 Biazet TV components,1
Private Transport Białystok,1
technical  innovations,1
Wodociągów Białostocki,1
Teremiska Foundation,1
acting Jagiellonian exam,1
individual trade farmers,1
Italy,1
Polish Independence Agreement,1
1987 Singing Society Warsaw,1
residential  situation,1
2 Professional Joy,1
again Youth Akademia,1
Urban pay protest,1
Independent Fame Scouting Krapkowice,1
- worker Committee Independent Warsaw,1
political Education borders,1
1987 crypt sauce,1
political  Warsaw,1
private Catholic Poland,1
evening engineering school,1
Solidarity centrumio property,1
free Kazimierz emigration,1
independent Economic Warsaw,1
technical Higher Economic Bialystok,1
Scientific Biała Podlaska,1
Curie Skłodowska Lublin,1
Solidarity SOR KRPT.Musician,1
technical block Puławy,1
1991 founder Agreement Puławy,1
study Szczecin,1
distant District apartment,1
underground John Paul Szczecin,1
1993 retired.20 1982,1
1981 Staff Self Government,1
SOR KRPT.Commander,1
S Lower Region Silesia,1
Warsaw Economics,1
grade Management Przemyśl,1
repressed Physisja Portowa vacation,1
1981 student culture,1
trade unions Search July,1
graduate High Warsaw,1
1994 Jagiellonian Pedagogy,1
so calledHealth path,1
member Jagilarski University,1
secret SB PS,1
Funny Award Józef world,1
weekly Self government,1
8 Wrocław Technology,1
packaging strike SG,1
Stanisław Wądołowski,1
vocational  Reszel,1
secret printing Biebrza,1
farmers trade Zamość,1
full  retirement,1
1996,1
Krajowy Mazowsze,1
1984 Provincial Office,1
Solidarni Konin,1
1989 Koniński Region,1
Henryk TW Marek,1
SOR EC KRPT.Lion,1
Warsaw.1966 1980 Central Warsaw,1
1969 years amnesty,1
vocational  Hrubieszów,1
communist KPN passport,1
explicit Program revisions,1
2009 European Rzeszów,1
Chojnice Chojnice,1
political Toruń deaning,1
unions;Repeatedly distribution revisions,1
retirement trade 2004,1
1995 Catholic Lublin,1
organizational Vice affairs,1
independent Catholic Intelligence writings,1
fixed TOK FM,1
fundamental Bielsko Biała,1
committee  S,1
then Organizing II,1
District Wałbrzych,1
high  Wałbrzych,1
Economic Primate Committee.1986 Warsaw,1
permanent Polska publishing employment,1
2000 Municipal League,1
1985 WSK Świdnik,1
lowest pension rate,1
half Leaflet KPN,1
Jelenia Fr,1
Committee  Lubin,1
homeless drug addicts,1
othersEnvironmental Diocesan Pastoral Council,1
Technical Secondary Lubin,1
pastoral St. Lubin,1
Leather Radom,1
launchers.1987 Kashubian Pomeranian Association,1
average care Gdańsk,1
religious St. Klemens Warsaw,1
2004,1
1986 SO Krypt,1
vocational  Brzeszcze,1
1981 Bureau Treasurer,1
1983 work.26 III ZPG,1
legal Charystwno Social Committee,1
Podlasie.1991 Law 2005,1
vocational  Koszalin,1
1956 Literary InstituteMaxim Moscow,1
open Mieczysław F. Rakowski,1
1989 trade union structure,1
quarterly Scientific Krytyka,1
electoral Correct Advertising Office,1
1954 Nicolaus Toruń,1
S Secret Region,1
Provincial Toruń,1
Technikum Głogów,1
underground publishing Brotherhoods,1
vocational Szczecin Świnoujście Szczecin,1
1980 Museum Łańcut,1
2006 International Culture,1
12th factory work,1
2012 Solidarity Foundation,1
Solidarity CDN America,1
2004 Polonia Restituta,1
permanent Radio Free Europe,1
1986 Samuel Beckett dram,1
1981 village Radom,1
S registration MZK,1
only  Wojnarowicz,1
1989 emergency ambulance,1
Polish Kalinowa,1
official Censorship Poland press,1
vocational  Lublin,1
Basic Vocational Odolanów,1
1981 ZR Wielkopolska South,1
1988 toy wife,1
provinceElectoral Stalowa Wola,1
Committee Stalowa Wola,1
then Bielsko Biała,1
Second High Lublin,1
leaveV EC Krypt,1
Szczecin port,1
bus depot,1
1981 Rzeszów offenses,1
Załęże,1
othersManu plate,1
independent KPN KPN press,1
former Jagiellonian Krakow,1
1980 home custody,1
physical Ciesielski Szczecin,1
"S"";In Catholic Radom",1
Underground pension,1
1978).A Managerial School Tami,1
interrogations St. Stanisław fine,1
early Silesian Military retirement,1
Kluczbork Nysa,1
2012 National Education Katowice,1
26,1
1981 Konin region,1
1988 Church Patriotic,1
1989 SOR KRPT.Crocuses,1
independent HSW bus depot,1
street Gdańsk,1
Fame Warsaw,1
III EC KRPT.Venus,1
Solidarity trade Świebodzin,1
trade unions Marek Aleksanderzak,1
1987 V SOR,1
vocational  Wałbrzych,1
responsible province law,1
vocational  Krasnystaw,1
IX Founding I,1
Commercial Bogdan Gdańsk,1
Transport Equipment Kalisz,1
3 furniture months,1
Mechanical Zamość,1
pks families,1
2 SB officers,1
Sejne Vigue Collegiate,1
Secret Independence Bieszczady,1
reactivated Rzeszow Ustrzycki agreements,1
1988 Marcin SG,1
foreign  transports,1
Together repression families,1
exempt  amnesty,1
Western retirement,1
1936 Gdańsk Technology,1
1986 Northern ShipyardWesterplatte heroes,1
technological work.1986 Gdańsk,1
1981 Michael Łomża,1
S registration SN,1
1985 EC crypt,1
few hour country,1
1984).A International pedagogy,1
Polish  Sieciechów,1
2007 Nazareth Radom,1
then Jarosław Kaczyński,1
analytical Eldocious ZSRS,1
classical Polish Scene Artists,1
1997  Gnid,1
Kolejarzyny XI Semaphor,1
pastoral Klemens Wroclaw,1
Council week.1988 S,1
29 Del. IV outz,1
underground student environment,1
economic privatization.1992 2007,1
Zamość secretary,1
cuts,1
activist Anarchist MA,1
donative Government Leisure work,1
9  April,1
Automotive Technical Wałbrzych,1
war,1
1968 Lublin region,1
western union centers,1
Lubelskie Region,1
KW MO SOR KRPT.Gwarek,1
committee trade Łomża,1
48 protein revisions,1
University  Warsaw,1
printing.1986 1989 Warsaw KPN printing,1
Civic Committee Professional Nyjni,1
1/3 Polish Ecological time,1
fold Home Army,1
1989 Współa Wspaści WPK,1
KE SOS KRPT.Incorrect,1
writing Solidarność school,1
Salesian Holy Family priest,1
Solidarity Holy 1990,1
full intervention office,1
calledPreventive Konin Morzysławy,1
222 Primary School Warsaw,1
conspirative Polish Ecological 2003,1
1st High SchoolJan Zamoyski,1
Rudnik n. San,1
other HSW strike,1
next Sandomierz Region,1
S Factory office,1
1986 tanterent store,1
foreign Higher Economic School,1
own  leaflets,1
S Marian Jurczyk,1
1946 Silesian water,1
rally Bielsko Biała,1
scientific MiastoProjekcie organization,1
public construction Kościerzyna,1
1981 Higher Pedagogical Rzeszów,1
sets);A Warsaw Technology,1
III Information Agency,1
Bicycle pilgrimage Rome,1
underground Underground Scriptures,1
Western Europe,1
XI,1
independent Edward Homy Rector,1
then Democratic Party,1
70 radio hearing Gazeban,1
mechanical education vehicles,1
metallurgical Stalowa Wola,1
1982 WSK PZL castle,1
2001 Audit Committee,1
Tourist Sightseeing Zamość,1
1995 City Lausanne,1
15 Polish Scenes Olsztyn,1
Kazimierz Brauna).1974 Theological Krakówif,1
III  philology,1
Trade Unions Trade Wrap,1
2000 III Rzeczpospolita Polska,1
2000  Solidarity,1
Solidarity trade Rzeszów,1
2000 Polish Ecological Rzeszów,1
industrial construction machines,1
formally Higher Pedagogical Rzeszów,1
Repeatedly  guardian,1
underground Jadwiga Plachimowicz,1
Osiedlowa Gazeta Klininy housing Krakow,1
Wielkopolska Social Poznań,1
20th  France,1
national  congress,1
Gardening Plants Krakow,1
Working Tam,1
Banska Niżna,1
Agricultural Krakow,1
S Government Trade Individuals,1
renewable  energy,1
economic state Wawrzeńczyce,1
working Mechanical Schools,1
1988 Poland Socialist offenses,1
1st High Bialystok,1
Electrical Technical Dobczyce,1
grade  publishing,1
cultural Diaspora Memory,1
"including""Commandos opposition Centrumio",1
Mechanical Tarnów,1
nearby  which,1
1998 Self Defense hub,1
latest documentary Poland,1
Independent Jagilarski,1
construction Koszalin,1
"48 lightning"".26 hours",1
martial employee law,1
agricultural  both,1
Incidental Tatra Association,1
machining  Tarnów,1
1982 KW SOR,1
orthopedic  workshop,1
second Blessed Virgin NC,1
1985).1985 Jagiellonian University,1
hoursThrough  house,1
opposition activity,1
mechanical Stargard Szczeciński,1
Key Technical Communication,1
especially car repair plant,1
co Arcade Games Lublin,1
1981 trade dignity,1
informal stone coal minute,1
Major Seminary Olsztyn,1
Museum;1977 1982 Vocational School Zakopane,1
2019 Silesian Gliwice,1
Southeast Region,1
honorary Polish Lviv land,1
technical  Ratajach,1
also John Paul II,1
1995 PPHU Norris,1
also parish library,1
Dramatic Old Krakow,1
Individual Farmers Zakopane Jaszczurówka,1
KW MO KRPT KRPT.Jan,1
1983 Folk president,1
military  lazaret,1
2014 Management Podregion,1
military Management Board,1
Committee Vice - chairman,1
1963 home Warsaw,1
1977 Polish Centrumio,1
1978 TRANSPORT DEVELOPMENT Team,1
1982  .,1
high Construction School Gdańsk,1
S Staff Shipyard,1
SOR KE KRPT.Bookseller,1
1980 Higher Pedagogical pedagogy,1
Demokraci.pl.1998 2002 Ursynów Commune Development,1
Occupational Radom village,1
unregistered Historical Warsaw,1
Founding Committees Founding S,1
academic Kolporter Independent threshold,1
XXX High Warsaw,1
in Rytm publishing Radziejowice,1
2 months arrest,1
Central New Paris,1
1939 Poland Cell ROP,1
1988 initiative establishment,1
includingHead Rytm publishing pension,1
1917 Poland Supreme CommitteeWD,1
young Jagiellonian Krakow,1
Western Scientific Courses,1
underground  workplace,1
1991 Ossie K. Warsaw,1
independent 1989).1986 Science,1
dental  practice,1
S Jarosławski parishes Jarosław,1
othersIn occupation writing,1
1986 Production Szczecin,1
Independent Foreign Enterprise Szczecin,1
Union Guide Trade Union Tarnów,1
VII High Krakow,1
Individuals Governing Trade Krakow,1
Individual Farmers Cracow garden,1
Rural Self upholstery,1
Higher Kielce,1
him,1
Individual Farmers Individual Krakow.1981,1
anonymous Ontario).2012 country,1
1970 mineral 1978,1
movement,1
sufficient file confirmation,1
qualified Krakow.2–15 Denmark,1
1996 - worker Łódź,1
2008 PiS 2008,1
stage  consciousness,1
interned  ones,1
1980 Wałbrzych North Dekanatu,1
priestly on27 ordination,1
1952 Medical Łódź,1
1937  Kraków,1
synthetic rationalization leather,1
families.1982 1989 Dawn Work Radom,1
1 Przedsiębiorstwo Handlowo V,1
order,1
1987 hiding printing,1
1972–1982 Budownictwa Przemysłowego Płock,1
departure John Paul Poland,1
operational KS case,1
1970).1970 1974 History Humanities,1
financial opposition country,1
miniature country;Among books,1
independent Chairman Professional nieces,1
independent trade intermediaries,1
6rd  Kwidzyn,1
editorial Blind Council,1
high Grodzisk Wielkopolski,1
cultural subject matter,1
Central Twentieth L.,1
Soviet school classes,1
Education Sanga Buddhist Association,1
1991 ICS Warsaw,1
Warsaw Międzylesiu,1
TECH AGRO Branch Warsaw,1
1931 Higher Agricultural Wroclaw,1
RelationshipsProfessional Professional Płock,1
main Agriculture Tam,1
1981 Dementant Cement MPK,1
secondary career general,1
underground greeting Council,1
1983 Sor EC,1
retired physics schools,1
Sejm Polish Republic,1
1988–1990 Stakademia Roliczat .,1
1948 Wrocław Technology,1
Senior Grade mining works,1
KGHM PM 2007,1
1960 Wrocław Technology,1
historic Slow Word Association,1
1980 Polish director,1
2000 Distinguished Culture activist,1
Basic Vocational those,1
Organizing Committee Organizing S,1
2015 Construction Works Czyżowice;From,1
1990 Maciej Mazurek,1
1989 Polish Blind Association,1
Kapelana Płocka Kapelana S,1
1989 Suor Krypt,1
12 KW Płock,1
St. Dominika,1
own  car,1
democratic Głogów K. Poland,1
legal  repressions,1
Sunday Mies Sunday Bialystok,1
so Suor Krypt Suwałki,1
1989 Taxi Wrocław,1
repeatedly  revision,1
1981  stemming,1
Warsaw.1980 Officer Fire Min,1
Agricultural employment.1983 Olsztyn,1
next Warmian Masurian 3rd,1
1986 EC Krypt,1
2010 Adam Sociology,1
reactivation Founding Committee,1
ducks,1
ThroughoutIII SOR KRPT.Support,1
Railway Technical Olsztyn,1
1970  Gdańsk,1
1981 retreat Opole,1
2001 International retirement,1
1988 Holy aid,1
vocational  Nysa,1
1966 State Outdoor Gdańsk,1
