source,target,edge
15 Kamień VI,S Marian Jurczyk,stopped
Stanisław Zarzycki,1946 Silesian water,graduate of
series Apostles Peter,rally Bielsko Biała,released disciplinary
Physisja  S,scientific MiastoProjekcie organization,accountant in
1960 born7 He,University  Warsaw,graduated from Polish
independent Kolporter Underground,Fame Warsaw,Delegated from
Solidarity ps . tiles,1989 trade union structure,Journalist of
1991  Advisor,permanent Polska publishing employment,house
member,launchers.1987 Kashubian Pomeranian Association,conducted
1996 Pomeranian President,2000 Municipal League,From
1962 Kowal locksmith,1985 WSK Świdnik,seconded to
1989  he,lowest pension rate,made
Gentian Branch Jelenia I,half Leaflet KPN,member
1984 Roman Committee,Jelenia Fr,Popiełuszko
23 IX 1985,KW Mo crypt sauce,Pensioner
religious St. member,Committee  Lubin,At
then  He,homeless drug addicts,worked with young
basic Roma adults,othersEnvironmental Diocesan Pastoral Council,Chapter in
LaureatePrimate,posthumously Polonia Restituta,awarded
1953 on18 He,Technical Secondary Lubin,graduated from
Rudna KS apartment,pastoral St. Lubin,From
1996 on27 He,Leather Radom,graduated from
1976  Garbarz,refractory Radom materials,On
1988 events he,1988 Ceramic Jedlnia,detained on
1989,economic Labor Office.1994 activity,Delegated
III,WatchV SOR crypt,Roundabout
Włodzimierz Zawadzki,1953 Adam Poznań,Mickiewicz in
then PZU He,underground  workplace,ran
Zdzisław Zawadzki,1998 Technical Secondary Gdańsk,graduated from
III W IV,1983 State Council,Released under
1933 born2 He,machining  Tarnów,completed
third Divine participant,Tarnów St. S,Participant of
Kolporter  which,together Brother Poznań,maintained
author,1980 Provincial Gdańsk,Lenin
private Zbigniew office,S intervention office,led
1990 Polonics participant,independent reactivation Warsaw,supported
1987–1988,FacultyIII V Interior,Ministry of
1949 Ostrów He,railway technical railway Communication,graduated from
2006 UR.25 He,Gdańsk ships,Construction of
then 2 Pictures,2 Tri City,became
Michael He,hunting wheel,led
many  They,Solidarity,Gdańsk
III 1957 Zielona He,vocational  school,graduated from
third Republic folk members,unions)Before  boycott,churches in
1981  organizer,MKommisja Zakładowa,In
just strike he,Trade Unions Borusewicz Printer Statements,II
2013 d.22 graduate,Pomeranian Medical 1963,surgeon
VIII 1980 occupation IX,unity . M. writing,Author in
own Szczecin Catholic He,specialist clinic Szczecin,interrogated many
1982  1983,KW MO EC KRPT.Eskulap,Developed by
Polish Academy,Kolporter Information activities,engaged in
1988  participant,12th arrival L. team,conducted
then National member,2006 European Affairs Krakow,President of
Western ZR she,communist  regime,gave legal
first John Paul she,Western Scientific Courses,participant of
explanatory Marek proceedings,young Jagiellonian Krakow,reactivated
red Anna Zechenter,1917 Poland Supreme CommitteeWD,Poles in
1979,SOR KE KRPT.Bookseller,Wusw in
Wacław Zeman,1952 Medical Łódź,graduate of
1982  Co,S Jarosławski parishes Jarosław,participation of
1998 Councilor City he,dental  practice,runs
27 IX 1986,MO SOR crypt,Conspirator
1933 Andrzej Józef graduate,Wrocław Technology,Extraordinary
years chapter author,independent 1989).1986 Science,comments on scientific
Jan Zieja,1991 Ossie K. Warsaw,Theology
communist Primate Stefan authorities,1963 home Warsaw,Ursuline in
Kor Committee Civic Committee,1977 Polish Centrumio,appeal to
member,1978 TRANSPORT DEVELOPMENT Team,Bulletin
12  XII,1982  .,committed
1938 Marian He,high Construction School Gdańsk,graduated from
VIII participant,S Staff Shipyard,In
Damed.1976 Mariusz Zbigniew Student,1980 Higher Pedagogical pedagogy,born19
leaflet  he,includingHead Rytm publishing pension,From
activist,Demokraci.pl.1998 2002 Ursynów Commune Development,From
then University Coordination Chairman,Occupational Radom village,organizer of
1984  case,unregistered Historical Warsaw,member of
member,Committee Vice - chairman,University of
Tomasz Zieliński,1947 Main Warsaw,graduate of
22 22 IV,Founding Committees Founding S,Picture
2012  TAM.He,XXX High Warsaw,born26
Duplicated Municipal he,in Rytm publishing Radziejowice,Running
-,2 months arrest,sentenced to
1989 Poland Founder,Central New Paris,member of
2000 Foundation initiator,1939 Poland Cell ROP,In
III Krasn K. He,technical  school,graduated from
annual Jasna participant,1988 initiative establishment,Organizer
1961  He,main  electricity,graduated from
12 Committee Civic Committee,1981 Justice Independence Tami,"including""Goniec"
1982  1989,1989 Professional Nevils,Kolbe in
13  XII,then Przegląd Immunite,continuation
Decorated Brown,1997 Paltinatus Cuiaviano PomeraniSis,awarded
currently Old Ukraine).He,mining Wałbrzych,Zięba
1990  Górnik,1983 Publishing HouseOlofa pension,1985 on
founder,worse mining trade work,writing
1991 Jerzy Canada).He,electric  Malbork,Zięta
1977 Spycharper operator,Municipal Operator Economy,works
organizer,trade unions trade Solidarity,From
25 Pomeranian Military V,agricultural circle Machine Dam,operator
He,Golden Merit,awarded
Marian  winter,graduate Electrical Engineering Technology,graduated from mechanical
1981  organizer,Secretary Staff Directorate,closed for
he,1991 parent workplace,recommended by
1940,Poland,Deported to
1945,activist Polish Youth,excluded for
West emigration Organizer,scientific Meeting courses,Society of scientific
Neglecting historians,kolporter.1984 1989 Janusz Sławiński,Humanistic
Paris  party,scientific Władysław literature,sketches
1980 strike participant,Western.1980/1981 Ustrzyki Lower,Advisor
political PD he,own Public Affairs Foundation,ran
Kazimierz Ziobro,1949 Catholic theology,graduate of
1976  1982,Jarosław Glass Hut,Employed in
W  Chairman,Wond Southeast x Map,Delegate on
Jadwiga disciplinary,work,stopped
2010 Podkarpackie Voivodship Republic,PiS list,Since
Honorary Citizen,Golden Merit,awarded
fatal R. injury,third J. Cathedy,discontinued
contradictory head investigation,crime,discontinued to
1951  He,car Szczecin,graduated from
then ZR Lower,1981 Polish Warsaw,COMMUNITY
SKN  member,1987 Audit Krajowaw,President of
private Socio Charity she,1950 Fire Scouting Association,initiator of
Stanisław Złonkiewicz,Ukraine).A Jagiellonian Krakow,born7
1981 28 IX 1989,KW Mo EC Krypt,speaker
IX 1940 Biała He,vocational  Gdańsk,graduated from
IX,ZR Gdańsk Bureau;IX,Incial Commission;From
organizer,GSR,In
IX 1977 Democratic Traffic he,independent Peasant Lublin farmers,In
28  VIII,agricultural Independent Letters,participant in agricultural
13  XII,New vice collaborator,Employee of
1991 Deputy Wójta Jabłonna,Member Management Poland,publishing
2009 Bielsko He,technical Bielsko Biała,graduated from
1981  organizer,Bielsko Agreement Centrum Weldoro,stopped
2000 Polish Ski retired.1993,bearing Bielsko name,Podbeskidzie
1950  He,chemical profile,graduated from
10  times,1995 Casual gardening,work in
Again  employee,martial and);A law,member of
1954 Waldemar Bronisław He,Technical Secondary Szczecin,graduated from
1981  participant,responsible Jan Tarnowski,After
1962 b.28 He,vocational school Gdynia,graduated from
7 XI 1981,2 years imprisonment,exceeded
private vice president,2010 Foundation Historical Initiative,Since
Cultural 1981,again Sunday guest,were
Independent Bulletin Independent Cooperator,1981 Social editor,Jastrzębie
second Underground Publishing participant,Delegates Ustroń pension,From
He,Poland,awarded
VII 1961 VII 1966,IX EC KRPT.Boomerang,WiSW within
poor IX case,political Human Rights Toruń,lecturer at
Sylwester Zych,1989 Metropolitan Seminary Warsaw,John
1980  he,Poland,expressed
anonymous III 1989,alcohol,tried
1993 Rokita investigation,emergency Interior,explain
I,Years,author
1950 born3rd He,Legnica,graduated from
XII 1981 XII 1989,repeatedly  workplace,stopped
1981,MO EC crypt,Leader
Participant editorial Mapnown,Radom Universal Strike,After
1981  VII,milling  work,Developed
Julian Jan Żrałko,priestly on27 ordination,born
founder,1980 Wałbrzych North Dekanatu,From
working  DLP,Christian Catholic Intelligence culture,Club
interned  He,interned  ones,interrogated many
there d.5 He,vocational  school,graduated from
apartment father,stage  consciousness,died
2015 d.22 He,11 Polish Scenes Gdańsk,graduated from
3  he,S. Niezgod Polish Republic,painted
14 Gdańsk VIII,Zakładowa ZR printing Gdańsk,From
13  XII,1981  stemming,released
1981 Provincial he,military  service,refused
24/1981 released;1982 1984,families.1982 1989 Dawn Work Radom,interned in
Author,synthetic rationalization leather,includingin
Jerzy Żebrowski,1937  Kraków,born13
Orthopedist Bandaist,orthopedic  workshop,run
1983 Prosecutor Kraków Podgórze,second Blessed Virgin NC,Crylicch
1967 Marek He,1985).1985 Jagiellonian University,graduated from
XII,hoursThrough  house,undertook
Konobrodzie K. He,mechanical Stargard Szczeciński,graduated from
underground Załom Cable Factory,also John Paul II,cooperation
1950 Zbigniew Marian He,Key Technical Communication,graduated from
1981 Trade Union,especially car repair plant,stopped
where Andrzej he,co Arcade Games Lublin,warned
Polish Vice - President,1981 trade dignity,repressed for
born3 III He,vocational  school,graduated from
occasional Tygodnik member,informal stone coal minute,Franciszek from
12  February,1982 KW SOR,worked
2013 d.25 graduate,Major Seminary Olsztyn,ordination
1981  VIII,Christian culture weeks,organizer of
currently d.27 VII,2019 Silesian Gliwice,graduate of
religious self employment 1988,Southeast Region,revealed as
1988 Polish Buddly Chairman,honorary Polish Lviv land,member of
1956 Adam He,technical  Ratajach,graduated from agricultural
Bieszczady;Without opposition he,Robert Turski,brought
1983 Provincial he,opposition activity,left for
2011 zm.9 TAM.He,chemical  technician,born22
independent factory he,1981 Toruń publishing house,continued);seconded
1981  Isolation,reactivation Founding Committee,participant of
average  Mechanic,average  Warsaw,technician
1946 communication service 1952,known Moczulski Leszek,Activists of
underground Stargard oppositionists,private Leszek support,initiator of
1998 Agent Rzeczpospolita He,collective exhumation PO,From
1974  participant,pastoral Gorzów Fr,Collector
catechetical  room,1989 Negotiations Dyr,Rudna
1952 Anna Żurawek She,High Nidzica,graduated from
1981 protest XII,Agricultural employment.1983 Olsztyn,Released from
he,next Warmian Masurian 3rd,retirement
1981  1982,1986 EC Krypt,Little
Jerzy Żurawiecki,2010 Adam Sociology,Mickiewicz in
1982 Węcz Wakacz 1982,ducks,worked casual
1989 TZR co,Solidarity P Turku,Freedom
14  XII,ThroughoutIII SOR KRPT.Support,WiSW in
1949  He,Railway Technical Olsztyn,graduated from
Grade  Master,1970  Gdańsk,Shipyard.25
24 retreat VII,1981 retreat Opole,released
1982 National Secretary,2001 International retirement,From
1981 Andrzej organizer,Warsaw.1980 Officer Fire Min,PISM
What,1988 Holy aid,Alberta
Danuta She,1966 State Outdoor Gdańsk,graduated from
then Founding Chairman,S Scha Region Switzerland,Map;In
S Polish She,then Siemens retirement,completed
1951  He,Electronics Technical Warsaw,graduated from
1973 M. Kasprzak,1980 trade metalworkers,-.In
Customs,1995 PPHU Norris,composition;A
there St. he,also parish library,helped as
1987 born16 He,Dramatic Old Krakow,Nowodworski in
Opole.1982 1987 Apostles Peter,third John Paul Homeland,church of
1955 born6 He,construction Koszalin,graduated from
28  VIII,"48 lightning"".26 hours",stopped for
1953 Stargard He,Electromechanical Technical School,graduated from
1980  Co,martial employee law,President of
military  he,military  lazaret,spent
2014 Stargard Szczeciński,2014 Management Podregion,co
organizer,military Management Board,From
2010 Knight Cross Order,100th Poland independence,Awarded
1962  Athlete,academic Kolporter Independent threshold,participant in academic
othersIn construction workers,othersIn occupation writing,Ogniwo
1986 PBO no,1986 Production Szczecin,interrogated many
11  XI,Independent Foreign Enterprise Szczecin,blackmailed
He,Golden Merit,awarded
1980  1981,Solidarity Sor Krypt,Committee
2006 Stanisław He,graduate Catholic Lublin,graduated from
1980 Governing Trade Union,Union Guide Trade Union Tarnów,Kolporter of
1956 born9 He,VII High Krakow,graduated from
1981 Co -,Individuals Governing Trade Krakow,co
it,Individual Farmers Cracow garden,member of
1989 Governing Trade Ombudsman,Rural Self upholstery,voivodships in
2015 d.6 graduate,Higher Kielce,ordination
illegally  he,him,built
informal Ustrzyki Structures,Individual Farmers Individual Krakow.1981,intimidated
Individuals Governing Trade he,anonymous Ontario).2012 country,hosted
there Small he,1970 mineral 1978,retired
there.1956 Tatra he,authorities,initiator of
1986 IV KW,EC Krypt,Clone
registration,movement,occurred before
probable Sor he,sufficient file confirmation,name in
1980  member,qualified Krakow.2–15 Denmark,Solidarity
1992 Christian Culture member,1996 - worker Łódź,Lecturer for
2008 I Proxy,2008 PiS 2008,retired
1988 Meetings Independent Initiator,Independent Jagilarski,organizer on
Cursing steadfast us,latest documentary Poland,history of
it,Trade Union Governing Trade Individuals,chips
Vocation Polish he,1998 Self Defense hub,From
1989 Municipal Bureau,United States Party,reactivated in
Practical training he,Banska Niżna,runs
it,Individual Farmers Zakopane Jaszczurówka,Urszulanek in
III  IV,KW MO KRPT KRPT.Jan,DepartmentVI
1969,1983 Folk president,suspended for
1968 General Construction member,Museum;1977 1982 Vocational School Zakopane,Modrzejewska in
1986 independence group Catechist,Incidental Tatra Association,president of
1957 Jerzy Leszek He,Electrical Technical Dobczyce,graduated from
military Józef Medenowski.1977/1978 it,agricultural  both,runs
1984 Agronomic he,20th  France,century
picturesque kindergarten garden,national  congress,running
he,Gardening Plants Krakow,runs
III 1981 III Delegates,Self Governing Trade Individuals,member of
Stanisław Kamil He,Working Tam,graduated from
he,Agricultural Krakow,studied at
striking  support,nearby  which,organized
partially opposition He,S Government Trade Individuals,Member of
regional Orange He,renewable  energy,deals with
Łuczywo He,high  Wrocław,graduated from high
Kolporter  subscriber,economic state Wawrzeńczyce,ran
2003 d.2 TAM.He,working Mechanical Schools,graduated from
underground  's,1988 Poland Socialist offenses,interrogated
90 Polish Socialist Socially,Wielkopolska Social Poznań,acted in
2017 d.30 He,1st High Bialystok,graduated from
departmental Information newsletters,grade  publishing,Fieldorf
Think  aim,cultural Diaspora Memory,Founder
Sor Krypt Figurant Sor Convention,"including""Commandos opposition Centrumio",Treated by
2012 d.2 He,Mechanical Tarnów,graduated from
1974 renovation locksmith,metallurgical processing Bochnia,Ponar in
m. Lenin,1989 Round Table,Participant of
2002 Małopolska Regional IV,2007 Urban Przedsiębiorstwo o.o.in,Sp.from
19  IX,1983 SOR KRPT.Parnassus,WIAW in
1985 born6 He,high  working,graduated from high
1981  1985,Mo SOR KRPT.Conspirators,wusw in
k. He,Cracow Fire School,graduated from
connector,Krakow.1970 Kraków Czyżyny,Lenin
many  he,1991  USA,XI
1963 Krzysztof He,studied Continuing Warsaw,graduated from
editorial Youth).1981 he,Biuro Independence Front,included in
1986 KPN Author,1984 Leszek Gorbaczowa,Idea
1984  member,electoral KPN elections,From
POLCUL Foundation Awards,approved  Poland,honored
DepartmentII III Ministry,Solidarność SOR crypt,Fraudsters
She,fifth Catholic Intelligence Moniko,published in
Secretary Financial she,magazine L. Interpellations,Signatories of
Piotr Igor Ikonowicz,1956  Warsaw,graduate of
70  He,1980 Warsaw Janusz Majewski,ran
Ps  Igor,political MRADA groups,banners).19
1989 KC PZPR Participant,repeatedly WIP offenses,initiated by
1989  Participant,Chinese Solidarity PL.Tienanmen,elections.13
1997 2001Supreme Council,2014 Social Justice,Secretary for
8 study offices V,Solidarity SOR crypt,Karierowicze
1954  He,1 Higher Pedagogical Częstochowa,pedagogy
10  1985,Warsaw.1986 1989 Casual works,stamps
2008 d.25 graduate,Catholic Lublin,doctorate from
primary  association,employed Karol Wojtyla,focused on
1980 Gdańsk Lenin,1980 Government shipyard,Lenin
1981 Ustrzyki adviser,permanent Świetlik Popoliwielków Gdańsk,salesman at
ZW.With  Freedom,organizational Central Planning team,member of
1964  1968,outletXI Interior Ro Krypt,Ministry of
Agnieszka Maciejowska,1953  Philosophy,sciences
1986  investigation,amnesty.1987 press release,Thought
Hebrew includingEtgar Kereta,2009 Polish language,works
distinguished  badge,Meritorious Culture Poland,awarded
1937  He,high construction school,graduated from
1989 Underground Siedlce,informer Modern Humanism,From
member,2010 Management Board,Since
1987 born6 He,high  Zakopane,graduated from high
1944.Polish,1947 Polish Marian Sodalition,scouting
Polish  messenger,historical Wrocław Tygodnik Catholics,member of
creator,underground EGO Independence,Committee with
Catholic he,1986 Provincial amnesty,remained
Road 1968).As he,1939 Selected Józef Piłsudski,developed
Grade Literatics Jagilarski 1968).1969,literary Scientific publication,Scheduled during
Editorial Małopolskie meetings,Polish Slovak Society,took
member,Czech publishing Silesia,Co
private Sącz Town XII,striking  teachers,helped by
24  VII,WatchV EC Krypt,Andy
2008 d.3 He,3rd High Poznań,graduated from
Board Farmers participant,Union Individual Solidarity,Union of
1981  he,Individuals trade Poznań,From
1951 Wiesław He,Technical Secondary Krakow,graduated from
Control Founding Circles,independent Chairman Professional Nsziezek,s.
2006  Electrician,Polish Wärtsilä Tilburg,B.V.In
1983  1985,Kraków Sor Krypt,Machines
5 III 1982,8 III 1982,employee
1948 Jacek He,Second High School,graduated from
1968  he,VII 1980 Leszek revolution,1983 in
independent Solidarity »,Solidarity J. Pacula,overview
5 III 1984,1 year imprisonment,suspended
2008 Vice President Employee,. Solidarity Network Krakow,In
1983,SOS leavingV W EC,Developed by
1960 Nowy He,Penual Nowy Sącz,graduated from
1981  Organizer,1988 Huta Krakow,Lenin in
financial Kosovo support,MP PiS list,From
1983 PAPSS Information texts,Osiedlowa Gazeta Klininy housing Krakow,From
Polskie,o.o . JHP Holding,from
He,Polonia Freedom,awarded
1982 opposition surveillance 1984,11 Political Krakow,Organizer of
2001 Lech head,cultural IPN KŚZPNP branch,member of
high school diploma,independent Medical student,passed
He,2017 Golden Freedom,awarded
2018 d.15 She,High School,graduated from
1981  Isolation,repeatedly printer home,stopped
Podbeskidz title,2005 Polonia Restituta,awarded
ING Polska Information,1981 Social Policy Council,Delegate on
24 Nowy XII,editorial Geology Polonica,Polonica
14  1981–12,MO crypt sauce,Geologist
6 employment contract,private Krakow initiative,was
Gurba Krzysztof,1979 Jagiellonian philosophy,graduate of
1981 Warning -,1981 Cultural Events,Participant of
Polish Academic 1988,scientific  employee,Released from
2002 Wander Region member,2018 National Education Committee,Extraordinary in
1983  VII,29 SOR KRPT.Hero,As
harder  graduation,underground Independent Publishing Krakow,giving
VI,polygraphic Professional Nystezek,facilities
independent Committee Independent Association,16 Gdańsk treatment,demanding
where village principles,Jan Democracy Defense,strike
-,1988 Kraków Mistrzejowice,came
successively Committee Civic Committee,trade Warsaw,unions
there Kubisiowski Edward He,Vocational School Tamże,graduated from
1982  Casual,interned  children,Involved in
1988  Student,Jagiellonian Krakow,born12
public Kurzyniec Qmar owner,Hulajpole Sopot,antiquarian
1987–26  VII,Solidarity SOR crypt,Anarchists
Laskowski Roman,2014 Jagiellonian Slawistyka,graduate of
1982 Trade Participation,2001 coordination Gothenburg,At
-,Polish  linguistics,Co
1980 1981.Factory Commission,1981 Wonder Tarnów,Delegate on
quarterly Editor noteIndependent he,Holocaust Family Puls,published
acting television songs,many Serbian countries,translated into
Laureate,award time them,Sadowska
Second Polish She,social Home Institute,Philological
70 III She,independent Cardon Karol students,attempt
founder,care Cracow support,Co
22  II,1983 SOR KRPT.Naive,MO in
1981  VII,Grade Physical Education Krakow,Isolation in
academic Jagiellian aim,independent Fire Scouting Association,Bema at
1957,1982 Sor Krypt,Multiplier
Alert graduate,Russian Faculty Jagilarski University,Extraordinary
includingIn . Ryszard she,Russian Karol Pope,transported
othersIn,striking Humanities Society,Cistercians in
1980 Committee Civic Committee,Search warning flat,stopped
collected Wrocław money,historical Radio Color,Author of
III Danka;24 KW,K Sor Krypt,Claus
He,1981 Katowice ligoti pannikach,died on
1981 d.16 He,Basic Training Tarnogród,graduated from
He,1981  Tarnogród,Buried
central Katowice He,7 Evangelical Mikołów,Buried
1962 born22 graduate,1991 Higher Trade Katowice,studies in
1985 New Sanitary,degree Students Dam,stopped
2007 Wicestarosta Undersecretary,2017 Party Agreement,Co
1  XII,KRPT.Wader Bielsko Curia,Developed by
1981 d.16 He,Wood Radomsko,graduated from
1981 WorkerIn Katowice Loader,Solidarity S. Katowice,member
1981 zm.16 TAM.He,vocational  Katowice,graduated from
1981 14 painter,Solidarity S. Katowice,II
III 1942 III He,electric Bielsko Biała,graduated from
1981  he,ID,submitted
1980 Factory Committee,improper PZPR Pszczyna,Kolportage of independent
workers,SB,combined
1981  February,1982 crypt sauce,Activist
1981 zm.17 He,industrial Częstochowa construction,graduated from
which,VII,made
step Katowice day,1981  defective,Buried
1963 Jarosław He,VIII High Katowice,graduated from
poor  case,1989 Independent Environmentals,Board
1989,Grade Warsawim Katowice,From
16  May,Solidarność SOR crypt,Democrats
1955 Bielska She,Bielsko Biała,graduated from
1984  proceedings,underground Tygodnik activists,discontinued under
1960 born29 He,technical telecommunications Katowice,graduated from
indoor  He,29  Koszalin,buried in
1954 Kazimierz He,Bielsko Biała,graduated from
8 starvation IV,own  Bristol,From
1981 zm.16 He,mining Katowice,graduated from
lumbar  He,1981 Katowice Piotrowice,died on
1981 zm.16 He,S. trade Katowice,graduated from
23  IV,1981 Mine Stone Uncle,Locksmith in
He,1981  Rostarzew,died on
1958  He,technical Remote Railway Plants,graduated from
1981 Founding V,1981  RFN,Staying in
1987 Co -,honorary  member,Antoni in
currently  Ukraine).He,Polish Zgorzelec,born7
1982 tagnetophone 1987,action tagnetophone S,stopped
Janusz Czachorowski,1950  history,graduate of
1981 I Author,Solidarność trade oversize,From
Solidarity Ziemia structure,Christian Catholic Intelligence culture,Terene
Antoni,2000 Ego retirement,From
1945  He,mechanical  Świdnica,graduated from
committee;1980 1981 committee;1980 Secretary,trade unions trade Świebodzice,Council;From
worker,1991 air Wrocław,Designer in
1953 zm.in United He,scientific  Katowice,graduated from Silesian
1981 XI 1981,village Radom,-organizer
1980  1984,km MO EC KRPT.Inspirator,Developed by
29 toFor VII,NOVA Construction labor,Manager in
Republic Bolesław He,KW Katowice,described
four Kamienna which,Śląsko Dąbrowski KPN,1981
1982 released.16 XII,48 coal coal Katowice,stopped for
1978,there EC Krypt,"""Aggressive"
St. Mary Mostal,priestly Kalwaria Zebrzydowska,novitiate in
worker).1974 1976 Again following,orphaned Father children,was
religious Dąbrowa rights,priestly  community,used
striking Huta Katowice.31,officially employment employment,released from
1986  Storage,long term disease,From
He,hospital,died in
1963,1963 leaveIV KW Krakow,MO in
now Władysław Ukraine).He,Mechanical Brzeg,Jamróz
organizer,Staff Self Department,In
there Holy Co,1990 trade Brzeg,COMMUNITY
1980 Stanisław founder,contemporary song scenario,co
29 IX VI,80 Bielsko Biała,director at
still  guests,Wrocław,perform in
real Rafał life,flying  models,doodle for
He,Polcul Foundation Award,awarded
1975,1985 SOR KRPT.Habit,February
Silesian Katowice colleges,pastoral Katowice Panewniki,care at
Author,scientific Cardiovascular Surgery,reports on national
old K. He,construction Wrocław,graduated from
18 Janusz he,Renovation Brzeg Sports Club,Manager of
Kamieniec He,Railway Technical Wrocław,graduated from
adapter,RDL,In
1989–1990Founding Committee,2009 Kamieniec PO.From,retired
Zbigniew Kopczyński,1956 High SchoolW. Katowice,born29
1981  31,1982 Zabrze Zaborz,interned
Silesian self -education duringHelp,Committee Nszowiek Professional,organized for
Infectious Social member,weekly Social Chorzowianin,MARCHOLT
He,Polonia Freedom,awarded
1980  1985,MO EC Krypt,Activist
22 III 1982,foreign SB trips,1988
1989 Civic Committee,Solidarity Sejm elections,carried
1990  Councilor,instead Lech Wałęsa,member of
it,own carpentry idea,Constructor of
1979–1982,MO EC crypt,Malcontent
1981 trade Participation,Individuals Rzeszow Ustrzycki agreement,participated in
1981  Isolation,S consultation activists,collaborator of academic
times warning SB,three month France,blocked
1983,kW MO EC Krypt,Counselor
1981 Jerzy he,underground agency messages,carried
Śakadademia Medyczna Śląski Medical manager,medical Scientific Research research,Organizer
1982–1985,III EC crypt,person
1951 Zbigniew He,vocational  school,graduated from
1969  Tokarz,smoking Bielsko Biała,Seagull
worker VIII IX,physical amnesty.1984 work,Stopped
surgically Alpha;18 May,1988–25 SOS Crypt,Fir
III press collportage training,national Members National Niezniazek,preparing
contamination,departmental coordination Racibórz,From
Together Jastrzębie spa he,1982  Germany,was subject
Polish St. Michał,Polish Ludwigsburg.1995 Heilbronn,parish in
SOS KRPT.The SOS constructor,undesirable  Poland,Republic
1953 Międzybrodziu He,Indukt electric Bielsko Biała,graduated from
1972 Uncustomed Worker,1981 Cooperative Foods Tamż,SPOŁA
III month 1983,6 month KARA,arrested
1994 Initial Commission Tamż,2018 Bielsko retirement,From
working  DLP,Delegates Śląsko Dąbrowski Ustroń,Committee
member,martial World Cup,repressed in
1980  1989,same crypt sauce,Deilings
Grzegorz Kazimierz He,basic Stargard Szczeciński,graduated from
1973  1986,sanitary Szczecin installations,Elektromonter in
23  VII,1986 Szczecin work,Stopped
organizer,Angel St. Louis,President of
1990 Solidarność member,underground European Information Agency,editor of
Cross,Trade Union Solidarity,awarded
1927 born14 He,high Nitrogen Moścki,completed
underground Solidarity activist,1989 trade Brzeg,Member of
1983 Organizer Kolportage,monetary Piotr S,collected monetary
1983  negotiator,Committee work PS,EC
7 prison labor V,1955  amnesty,In
12th Manifestation participant,Now SKS university,collaborator of
1980 factory commission,-company Szczecin Catholics Club,In
monetary Stanisław Kolporter,monetary Stanisław rebounds,granted
He,Polonia Freedom,awarded
Pomeranian communist communicem owner,Mkrotech Szczecin,Since
2013 Janusz Józef He,1970 KW Szczecin,graduated from
same District Court,Szczecin,discontinued
1962 born28 He,graduate Nicolaus Toruń,Rights
1980  Committee,magazine Literary UFO,transformed into
1990 leaflet reactivation,workowness trade Toruń,Niezniezek
He,Polonia Freedom,awarded
1980  member,Polish IX Szczecin,took
due KW he,1983 Western Pomerania,stayed in
participant,student Szczecin,In
1980 KS member,phenomenon SocialMovement Poland,Analysis of
together North she,General Technology General Euroafrica,Head of
1989 Factory organizer,2002–2004 Kapitel retirement,From
1957 Bożena She,professional  Szczecin,graduated from general
underground  publications,underground  activists,interrogated
today  Poland,Szczecin,renounced
48 Press court,reactivated Contract Unity,From
IX 1989 IX IX,German City cooperation,employee of
1980  1984,there Sor Krypt,Team
1940 Jan He,car Szczecin,graduated from
1977  Kolporter,free opposition activities,collected
bad  V,1982  Canada,From
1979,SOR KRPT.Loop,Developed by
head High School 1986–2012,medical  practice,conducted private
underground Wrocław letter,1989 Krzyki Public ul,Krynicka
1981  signatories,underground Solidarity Team publishing,made
X,WatchIII SOR KRPT.Line,Developed by WatchIII
1980 Co - founder,1981 ZPD ZR,Leader of
1986–1988  he,Club Trade Białogard,co
V,1958  Poland,Repatrated to
1983 Washington University,Cencit Catholic Chicago,came to
1968 Szczecin Contrast she,letter Pruszcz Gdański,prescribed by
16 Regional Electoral XI,1990 Health Service,Delegated to
1976 co -author,KOR Nszów Vocational Union,thirteen to Western
1977 year Judgment,14 Provincial VII,maintained by
12th US he,Literary  notebooks,editor of
American Wisława He,1987 Zbigniew Water,And
30 IX 1989,1981 crypt sauce,Reader
Mieczysław Marcin Argasiński,there Catholic Lublin,graduate of
Free teachers,young lung people,founded white
12th  protest,martial IX retirement,From
Jerzy Michał Stańczak,1940 Wrocław Technology,graduate of
1956  participant,building market,Mostal
1988 Automation Nastars,Grade Center AutomationEnergy,Designer in
22 Teresa Xi,offenses,interrogated in
o.o./procom system President,following Management President);From,retired
harder centerMERA ELWRO,1977 Polish Motor Association,systems
x 1981 x Guest,1981 Deutscher Gewerkschaftsbund,went with
which,ZSRS,smuggled to
he,MANDA Obcadowanie crypt,Snakes
1950 on11 She,Technical Secondary Commerce,graduated from
1969 A clerk,electronic facilities Mera Elwro,automated
1981 Foreign Trade She,Deutscher Gewerkschaftsbund,went with
which,ZSRS,smuggled to
2004  Laboratory,Ärztliche Laborgemeinschaft retirement,From
1958  He,mechanical  Wrocław,graduated from
1989  ACCIDENTAL,1989 Pole Secretary,Co
Blue Strain Fourteen,1983 General Karol Jabłonki,photo of
1989 Tygodnik He,1988 Medical Uakademia building,co
He,Independent Distinguished Culture activist,awarded
1980  he,sacred Stalowa Wola,supported
Initiator,1981 Catholic Lublin,create
1988 Catholic Social Cooperator,auxiliary III Przemyśl,1989
democratic Stalowa University,homeless posted.1990 unemployed,be
2007  Cross,Region Earth Trade Union Solidarity,awarded
1937 Zduńska He,small  industry,graduated from
1956 Mł Constructor,1982 Department Person Sieradz,driver in
