source,target,edge
-,Mazowiecka headquarters police station,arrested
1989,WYDZVII Dep,Developed by
Józef Śleboda,1938 Father Poznań,born13
15  XII,1981  axle,interned in
Free Trade then,"Italian S"";In Energetyka",unions
4  VI,1987  Mr,Developed by
retained aid organizer,13  XII,repressed
1981  VII,KW MO SOR KRPT,Developed by
Solidarność,Wake,lasts
He,Polonia Freedom,awarded
internal  organizer,several Blessed Virgin Bogatynia,made
1982 Main Board We,health,arrested
He,Polonia Freedom,awarded
17 Łup XII,1981  Iława,released
opposition 1980,Senate Warsaw,restored to
1980  organizer,worker trade union workplaces,From
numerous  prince,common  good,is naked
1977  Prince,Anti  Totalitarismus,ideologies
Solidarność,underground Ostrów Łódź,lives
S South Wielkopolska,Golden Merit,awarded
Jerzy Świder,1952  Gdynia,born22
31  XII,martial  law,released from
He,Golden Merit,awarded
1965  1975,own  divisions,led
28 AŚ Warszawa VII,1984  amnesty,participant in many
rolling Tamż;1974 1977,Management Legal Department,Head of
Decorated,cultural Poland activist,awarded
1981  member,1984 trade union print,responsible for
lawful  attorney,District Bar Gdańsk,Dygr
1981  May,KW MO SOR crypt,worked
13  XII,1982 AŚ health,interned
13  XII,1981 Solidarity information,Rewrited
1963  1968,III 1968,appeared in
1981  -,Krakow Łagiewniki,member During
founder,Martial Katowice,In
Cross,1979 Małopolska Solidarność,Decorated with
400 Zdzisław leaflets,1982 Ryszard Landowski,pt
19 February -28,1982 crypt sauce,worked
organizer,Szczecin Technology,In
1990  Member,1989  member,vice
Poland Cross,cultural  activist,Awarded
organizer,plant,In
1983  flat,printing  house,led
he,Polish Scientific Courses,performed from
founder,students writom independent counterpoint,CIA
Laureate,independent Poland Rebirth,awarded
12  May,so KW crypt,worked
raised student he,following Warsaw Czechoslovakia,stood in
house,also printing materials,made
member,Cracow,Committee
Maria Tarnowska,1900  areaPinsky,born20
1981  organizer,registers,interned
1958  1993,parish charity Saint,leading
1989 Cooperative Bishops,underground Social letters,Aid
Jan Bolesław Tarnowski,1950  Gdańsk,born26
29  IV,1981  Głogów,released
29  XI,local union cooperation,was martial
Civic Committee,trade unions trade M,appointed
1956  1960,enterprise water enterprise Słupsk,worked in
1980  Organizer,Gdańsk Shipyard,named
11  II,1981  Strzebelinki,released
President,trade theater,unions
1982  1983,WatchIII EC Krypt,Developed by WatchIII
Marian Leszek Tercki,1958  Wałbrzych,born13
1981 Warsaw Author,underground screen Card,interned in
13  XII,IX  ZW,revealed in
What,documentary film,director of
he,S,performed from
she,currently fiberboard fibris SA,employed at
organizer,interned  persons,After
15  XII,1981  axle,interned in
14  XII,1981  axle,interned in
13  XII,1981  axle,interned
1989,again  Świdnica,adopted
Ryszard Toczek,1951  Warsaw,born20
1980  includingHe,solemn  Masses,celebrated
1981  he,authorities,involved in
Author,together Lucyna Żbikowska,Tokarczuk
7  VI,1989 SOR KE KRPT,SUSW within
Paweł Tomasik,1951 Bielsko Biała,born17
1973 Specialist Mechanizer,State Agricultural Głogów,pow
1981  press,Brother Stanisław,During
1985  VI,1989 EC crypt,worked as
She,domestic army connector,graduated from high
13  XII,flat Mo anxiety,interned in
1980  member,1970 Social Gdynia,co
Author,collective Tygodnik othersIn,closed
16 Regional Strike XII,1981 Władysław Kraśnik,During
Barbara Toruń,1946  Warsaw,born26
Madrid,Madrid report,presented
Judgment,1985 Pomeranian Military ZK,sentenced to
13  XII,1981  axle,interned
1981  participant,Farmers Solidarity Warsaw,co
13  XII,1981 16 III 1982,interned in
Tomasz Konrad Trepka,1948  Warsaw,born15
KOR COMMITTEE COMMITTEE COMMITTEE,independent  writings,Ej
24  II,25 SOS KRPT,Developed under
1980 SKS Co -,there Adam Molder,participant in
13  XII,1981  axle,interned
1981  member,1981 SB strikers,branches with
he,SOR KRPT,destroyed by
1955  1957,communal Sezapet construction,Dygr
includingBolesław  Trzewik,instant pass rate,organized
1979  member,Democratic Youth,is
Winner,2001 Golden Merit,awarded
1984,SOR KRPT,Developed by
1981 Chairman COMMISSION,1981 First Commission Map,seconded
28 15 case,1984 Military SN,discontinued by
Cross,cultural Golden activist,awarded
1944 Army soldier,1944 Warsaw Gustaw,injured
1946,Private Metal Products,launched
1980  Co,Economic Sciences,founder
Maciej Wiesław Tumanow,1958 Warsaw Technology,born19
1982 Cooperator Physisja Zakładowa,national leaflets crane,collected
13  XII,1981  axle,stopped
1983 Wilczy he,Canada,went to
Wiesław Tarasz,IX 1954 Stalowa Wola,born7
III,1987  WYDZV,Developed by
13  XII,S  Piaseczno,detained at
1983  Electrician,Supervision Inspector Department Factory Wrocław,LOOKS
he,family farm,worked on
27  V,anxiety,interned in
Konrad Turzyński,1953 Starogard Gdański,born19
Youth member,1976 Polish Esperantist Union,In
17  XI,1981  mathematics,released
1978,WatchIII KW SOS,Developed by WatchIII
Donald Tusk,1957  Gdańsk,born22
worked  casual,bread seller,includingAs
1983  IX,1986  p,XI
1981 Jaruzelski diplomas,collaborators,co
organizer,leaflets,X
26 hospital V,then hospital hunger,released
1983  1985,Mr,Developed by
1992  Chairman,1992 ZR ZR,seconded
Renata thymery,1952  Wejherowo,born22
founder,1981 W River ZR,In
organizer,anxiety,interned in
Henryk Tyszkiewicz,III Kępna,born26
1965 Employee Polskie,Kępno Western Kępno station,railways
1980  Secretary,Wrocław communication Semaphor,From
Tygodnik books,1985 Kolportage Kolejars,led to
low school management,school,was
1982  1983,SOR KRPT,Developed by
1982 Warsaw employment,patent spokes,prevented in
chairman,electoral  commission,In
Bożena Teresa Ulewicz,1952  Ostróda,born20
1983  1985,outIII SOR crypt,Developed
Tadeusz Ulma,1928 Cieszacin Mały,born27
Aleksander Urban,III Ostrów Wlkp,born27
XII,military 4 II,stopped
13  XII,1981  axle,interned
He,Solidarity Podbeskidzie,awarded
1982  1987,KW MO SOR KRPT,Developed by
chairman,Works Wieruszów,In
1981 Iwona group,underground  releases,After
1980 IX member,1981 Information Bulletin,Signatory of
He,Freedom,awarded
actually church aim,professional  life,was moral
1989 trade unions,Solidarity  Legnica,S
25 10 III 1989,KW MO EC KRPT,Developed by
historical essays we,historical essays which,andA
13  II,KS MO EC KRYPT,SUSW within
Leszek Urbański,1955 Jelenia Góra,born22
13  XII,9  XII,Interned in
1998  Councilor,own Minister Jarosław farm,Unemployed
1981  November,EC SOS crypt,worked
1999 Golden Cross,cultural Poland activist,awarded
Józef Emil Wajda,1955  Lublin,born
1980 Students i,1980 Students Uniwersytet,m
Stanisław Wajsgerber,IX 1957 IX Grudziądz,born27
13  XII,1982 protest Ośr,interned in
1988  Worker,Torun spinning,worshipers
1988 Toruń Solidarności,underground print Krajowy,Toruń
12  day,wide  slate,released
14  XII,1981  axle,interned in
1961  1965,1967 Food Concentrates 1979,Worked on
1981  Internified,Ostrów Wielkopolski,released
Kazimierz Waldowski,1949  Wejherowo,born12
monthly Polish letter,KOR Trade unions,subtitle
1974 IX 1976,WatchIII EC KRPT,Developed by
Anna Walentynowicz,2010 Air Smolensk,died on
16  VIII,14  VIII,restored
18  XII,1981  anxiety,interned in
he,honorary Gdańsk citizen,refused
few  books,S,devoted to
3  IX,KW MO SOR KRPT,WUSW in
13  XII,1981  axle,interned in
Author,Polish Thought,votes
He,Polonia Restituta,awarded
23  XII,MO EC KRPT,Developed by
15 strike XII,5 III 1982,participant in
organizer,S EGO Pomerania,Western
23 Zabrze XII,again Zabrze Katowice,released
Janusz Waluszko,1962  Gdańsk,born27
10  VI,1983 Wojciech Jankowski,In
1992 La Mać,many  letters,"Pariadka"";Published"
19 shipbuilding XII,4 KW days,detained
14th  strike,2 President National Niezniezek,stood at
where government he,private  person,persuaded
30  IX,same  time,appointed
Solidarity Democratic which,prime Tadeusz minister,made
author,autobiographical Dear Wolności,name
1978,outz,Developed by
1981  activist,then Oświęcim fine,stopped
Vice - President,Solidarity ZR Presidium,In
monthly Tygodnik letter,KOR Trade unions,subtitle
Maria Warchał,1940  Jarosław,born
12/13  XII,1981  beginning,avoided
1980 Students i,1980 Students Uniwersytet,m
1964 Polish State Railways,Grade Remote Control,Tamż
18 detention XI,1981 detention Wronki,interned
Bronisław Wardawy,1940 Kozienice Kozienice,born20
Polish State Locomotivownia,Hutnial Polish Tamż,Lublin;transferred to
13  XII,1981  Włodawa,interned in
Kolporter,Parisian Tygodnik Culture,Said
he,propaganda October,conducting
what,journalists,word about
underground  Solidarność,later Krakow Solidarity Department,win
He,underground Pro press,awarded
Elżbieta Maria Kessel,1954  Warsaw,on8
22 trade union VI,1982  1,took
2000  Mechanic,bakery 2000,retired
rabid British Poznań,here Polish Vienna,is
third Agricultural Technical he,ideological  students,read
Fame 1974,79th Sailing Scout River,In
where Hut he,two  activists,informed
employee,1990 Polish Scenes,No
then  he,armed  actions,participate in armed
1981  Kolporter,informer Solidarity »,writing
13  XII,1982  Center,interned in
1980  1982,outz,Developed by
1974  Vicar,Konin;1977 St,parish
1981  he,underground  activities,visited
13  XII,1981  Bialystok,interned in
13  XII,30  XI,interned in
1972,FacultyIII EC KRPT,worked
Jerzy Weber,1947  Wrocław,born1
distinguished  badge,approved  Poland,awarded
driver,1968 Gardening Department Tamż,driver
1980  Member,1980 Factory Committee,From
12  VIII,1982  Gdańsk,Detained
X -,episcopal  lawyer,No
1981 co -organizer,underground trade union presses,books
author,independent  culture,Ps
1980  member,1981 W River Podbeskidzie,From
14  XII,1981  axle,interned in
member,Prompt Maciej Nowicki,From
5  1989,outz,Developed by
1968  Miner,1968 Lublin region,employed in
13  XII,1981  axle,interned in
1981  1989,KW MO SOR KRPT,worked
Krzysztof Węglowski king,1961 Nowy Sącz,born1
1982  February,MO SOR crypt,worked
1981  Participant,immediately railway work,released from
where Antoni he,also son SB,gave
1  VI,1982 SOR KRPT,Developed by WatchV
13  XII,1981  axle,interned in
organizer,departmental IX 1980;prey,In
1995  Frezer,electronic  plants,Unimor
1981  interned,1982 pass;6 XII,slow
1980  February,SO WYDZV KW crypt,worked
Leon Wiczanowski,1942  Chojnice,born12
29 removal IV,1981 removal Strzebelinki,released
1989 A member,Institution ZW,dismissed from
he,Stanisław Wądołowski,established
1981 Senate meeting which,martial  law,Initiator of
He,Polonia Restituta,awarded
Jerzy Wieczorek,1940 Piotrkowice Kraków,born19
1981  participant,protest anxiety,interned in
He,1990 Polonia Restituta,awarded
1980  chairman,workers authorities,In
Andrzej Mariusz Wieczorkowski,1947  Kutno,born26
1988  1989,Mrs,Developed by
6  VI,1972 WatchII Depth,From
1958  1972,WatchIV,Developed by
13  XII,10 Warsaw VII,interned in
author,1997  Gnid,books
founder,1982 Andrzej editor,author
13  XII,1981 Ryszard Nakł,printed
Anna Więckowska Machay,1945  Częstochowa,born26
2nd District Court,pastoral Alina o,upheld
Author,maritime  economy,e
Laureate,Pen;posthumously Golden Merit,decorated with
1981  Participant,martial  law,closeness on
Józef Wilczyński,1945 born11 Rabka,Witold
14  VI,WatchIII EC Krypt,Developed by
informal Lesław study,100 Jagiellian rights,signed
martial Western law,1982  France,found
1980  he,Zakładowa Lubin IV,assisted in
1978,outz,Developed by
1980 Solidarity chairman,S Individual Farmers,province
13  XII,1981  axle,interned in
Author,24  books,depth
1980  Worker,1980 Biazet TV components,works
-,Organizer arrest packages,interned
Danuta Maria Winiarska,1949  Warsaw,born15
13  XII,1981  axle,interned
Jan Winnik,1944 fur coats,born22
Eugeniusz Szumojka Eugeniusz Organizer,underground Radio Free information,collected
1981  Interned,harder III work,released
He,Distinguished Culture activist,awarded
1981  1982,WatchIII crypt sauce,Developed by WatchIII
1981  Interned,1982 Włocławek Society,released
22  VI,1981 Sor Krypt,Mo in
1953  1956,1973 Film Film Gdańsk,Employed in
13  XII,1981  anxiety,interned in
1981  XII,1982 SOR KRPT,Developed by
1961  Employee,1968 lampsRóży theater,m
III,1988 crypt sauce,12
Andrzej Wiśniewski,1955  Warsaw,born27
scientific  worker,1978 Flying University,collected
Edward Feliks Wiśniewski,IX 1947 Stary Drezdenko,born19
organizer,departmental Gdańsk Shipyard,In
-,electromontage  work,dismissed from
October  November,FacultyIII SOR crypt,worked
27 months VIII,1982  anxiety,Interned in
1980  spokesman,St,fasting with
13  XII,protest participants;Co persons,celebrated
1984,crypt sauce,Developed by
Janina Wiśniowiecka,1941 Golub Dobrzyń,born20
1981 Głodowy organizer,documentary film,see
Solidarity trade Kolporter,Professional Niejrezek,leaflets
He,Polonia Restituta,awarded
II 3 IX 1982,SOR KRPT,Developed by
editor,underground IPPT Polska belt,conducted
Stanisław Zbigniew Witek,1952  Jawor,born13
1991 trade member,member ZR copper basin,POIW in Jawor;From
13  XII,1981 MO police Osr,interned at
13  XII,S  Fr,transported
13  XII,short  axle,interned
13  XII,III 1982 III OLY,INTERNED IN
he,USA,went with
1976  1982,Nowy Sącz,employed as
23 III 1989,4th Nowy elections,helped
Maria Wleklińska,1940  Września,born15
first  member,S Catholic Intelligence Kalisz,From
19 IX 1984,crypt sauce,Developed by WatchIII
Julitta Maria Włodarczyk,1960  Poznań,born27
1981  member,Governing Trade Solidarity i,m
XII,1981  anxiety,interned in
13  1981,repeatedly Trade MO,dismissed from
Jerzy Piotr Wocial,1946  Warsaw,born
1980 strike participant,satirical Port writing,provided musical
13  XII,1981  axle,interned
1987,2004,retired
-,Warwall,collected
Legal  clerk,Legal Przedsiębiorstwo Supplying Authors,ZAiKS
30  IV,KS MO SOR KRPT,Developed by
cooperative worker Weight,Urban pay protest,released for
XII 1981 XII VII,activist Krajowas Adam Borowski,made
where Fame Scouting he,Independent Fame Scouting Krapkowice,Activists of
1981  1982,so KW crypt,Developed by WatchV
1981 co -organizer,martial  law,From
founder,Łódź Agreement,In
Cash,repressed trade workers,R for
1981 strike participant,S Piotr Kapczyński,collected
KOR COMMITTEE COMMITTEE COMMITTEE,Solidarity trade unions Warsaw,Now
1981  interned,retreat Strzebielinek,released
He,Polonia Freedom,awarded
Andrzej Wojkowski,1940  Kalisz,born17
1981 provinceIn signatory,Freedom Justice independence,From
1982 apartment Janina General,anxiety,printer
10  1984,outz,Developed by
13  XII,governing trade Individuals,arrested
29  IV,1982  anxiety,interned in
17  XI,1989 SOR KRPT,WUSN in
12/13  XII,independent HSW Zakłady Committee,contributed to
Marek Wojtas,1952 Bielsko Biała,born13
15  XII,then Bielsko Biała,arrested
4  XI,special Czerwony Bór,appointed
Władysław Liwak,place,offered
Polonia Cross,Region Earth Trade Union Solidarity,awarded
12/13  XII,S ZR headquarters,warned by
he,electoral  Toruń,conducted
Michał Wojtczak,1954  Toruń,born19
1981  he,equipment;Participant  banners,concealed
1990 Vice Member,1993 Tripartite Economic,Beted
1981  member,"Solidarity Głogów"";Participant poster Głogów",collected
monthly MRADA letter,KOR Trade unions,subtitle
1990 Przegląd he,permanent Radio Free Europe,publicist of
Education co Education -,grade Teacher Solidarity,editor on
Grzegorz Ignacy Wołczyk,1954  Starachowice,born13
VIII,literary strike letter,no
1980  participant,other Siedlce plants,maintained
28 Czechowice IX,1983 Bielsko Health,series
member,1945,repatrated
13  XII,1981 Warsaw internment,interned in
political  2016);He,2004 Polonia Restituta,awarded
1982  1989,Olsztyn K Sor Krypt,wusw in
Andrzej Woytowicz,1936  Cobryn,born26
16  XII,1981  axle,interned
20  1986,outz,Developed by
Jerzy Woźniak,1969  Pruszków,born12
Gräfin von Thun,former  Woźniakowska,Rose
Waldemar Woźniak,IX 1945 IX Radom,born1
Wojciech Woźniak,1968  Szczecin,born17
1982  1986,70 Tygodnik Fr,participated in
1980  he,Polish Factory Szczecin,was on
foreign Holy participant,pastoral Warwall Saint,organizer of
1968 Worker Lodz University,medical equipment repair Łódź,employed in
13  XII,1981  Łęczyca,interned in
1970,WatchIII Sor Krypt,Developed by WatchIII
Zygmunt Jadoj,1932  Tarnów,born1
IX 1989 IX 1992,Lubricating Economy,restored
1981  Kolporter,Central  Region,leaflets
1981  February,FacultyIII crypt sauce,worked
Sylwia Maria Wójcik,1945 on26 Poznań,born
1989 7 Signatory,Trade Unions Trade Rzeszów,II
Adam Wójtowicz,1947  Wrocław,born22
where State Wagon he,S Lower Silesia,strike at
Antoni Wójtowicz,1954  Namysłów,born17
14/15  XII,1981  anxiety,interned in
1982  Cooperation,economic Tygodnik editorial,works
Kazimierz Wóycicki,1949  Warsaw,born on22
1981  VI,1982  Ośr,interned in
Author,German  relations,CDN
1978  1980,independent discussion 12th,Committee on
next steel grade,Nowy Dziennik,passed
1981  associate,EJ publishing house books,No
XII,conditionally State Council,arrested
13  XII,1981  axle,interned in
organizer,urban Ostrów Wlkp,In
13  XII,1981 11 III 1982,interned in
Wiesław Wróbel,IX 1942 Bielsko Biała,born12
1980  Co,ending Podbeskidzie Region;6 strike,in
13  XII,Jastrzębie  wide,interned in
13  XII,1981 10 axle,interned
Zygmunt Wudarski,1943  Krotoszyn,born12
13  XII,1981 Ostrów Wlkp,interned in
-,Second ZR Wielkopolska omnego,In
1981  IX,1982  axle,interned in
III Warsaw 1982,1981 Warsaw Grochów,released
24  XII,1981  anxiety,interned in
III,Mo So Krypt,Wusw in
-,Fr,In
28  XII,1983 Supreme grace,increased
Rzeszów employee,industrial  construction,undertaking industrial
3 II,1982  ALY,interned in
Andrzej Wojciech Wyrolalak,1944  Pionki,born13
Committee member S,Solidarity trade Pionki,Included
13  XII,so  anxiety,refused
13  IV,KW MO EC KRPT,Developed by
Maria Wyrwich Łukasiewicz,III  Warsaw,born26
XI XII,early XII retirement,supported
Jerzy Tomasz Wyrzykowski,1956  Rybnik,born19
World War soldier,Warsaw leg,lost
president,share committee,From
23  XII,ordinary  professor,released;Released from
partisan  cross,fold Home Army,Decorated with
12  October,KW Mo EC Krypt,worked
Jerzy Wyskiel,1945 Nowy Sącz,on8
13  XII,1981  axle,interned
10 III 1982,so Nowy crypt,Developed by
III 1981 Region Pilskie Voivodeship,writing Solidarność school,POIW
23  VII,1981  Wronki,released
organizer,postulative Cooperative Directorate,presenting
plea,other District Konin,made
1980  1981,crypt sauce,Developed under
magazine Word word,1981 Independent Polish Lublin,subtitle
1977  co,1978,coast
1982 day he,7 day VIII,escaped
Eugeniusz Szumijko Marian She,own Meeting B,lodged
1981 Co -,provincial Berries Greer,meetings
14  XII,small strike shipyard,hid
Roman Crylic,1936 Starogard Gdański,born20
1956 Military Technical he,planned  workers,refused
IX,independent trade unions,informed
1999 Golden Medal,Polonia Restituta,Decorated with
1972 Zakłady 1980,1980 Zamość Furniture Zamość,combine in
13  XII,7 XII 1982;fired,interned in
12  XI,later  Prabuty,released
founder,FMW Ewa Mirror,In
intern  journalist,then Gazeta Szczecin,add
historical Jadwiga who,photographic anniversary masses,Author of
Janusz Zagórny,1951  Elbląg,born27
IX 1980 IX member,Founding POLMO,Committee
Józef Zaguła,1936 Stalowa Wola,born17
1954  1962,1982 Irsus ibibos,Employed in
He,Golden Merit,awarded
participant,professional Committee Civic nzniezek,distributed
7  IV,1986 SO Krypt,From
organizer,responsible  guards,In
Józef Zalas,1936 Kraków Łagiewniki,born26
15  XII,1981 KW incredor,interned in
1981 Co founder,independent printer Publishing letters,printers of independent
13 protest XII,1981  axle,interned
author,Books Ewa Solidarity,forbidden
Maciej Zalewski,1956  Kutno,born26
1984  XII,SOS SOR EC KRPT,Developed under
1947,Youth;1956 state Church,removed from
1956  he,degree KC outz,participated in
Kazimierz Jan Zamośniński,1936  Hrubieszów,born7
13  XII,1981  axle,interned in
together Mikołaj he,so Andrzej Tupczak,printed
1982  V,1983 SOR crypt,worked
participant,leaflet  Przeworsk,In
1989  he,Gdańsk Oliwa,participated in
1969 Employee MZK Warszawskie,2004,Trams;From
VIII participant,1980 occupation S,SG;From
We,1981 press release office,ix
13  XII,1981  August,interned in
Maria Zarzycka,1940  Tarnopol,born20
twelfth  she,own  leaflets,made
1981  participant,SS,strike in
Stanisław Zarzycki,1946  Cieszyn,born27
1980  member,Delegate Commission Map,From
1981 Szczecin i,1981 Szczecin Shipyard,m
17  XII,1981  II,restored
1982  member,Solidarity trade Nr,issued
member,underground contact workplace,conducted
Jadwiga who,photographic anniversary masses,From
1962 Kowal locksmith,1985 WSK Świdnik,seconded to
1989  he,lowest pension rate,made
1980  Organizer,1980  S,ch
30 Kamienna IV,1981 Kamienna Góra,released
23 IX 1985,KW Mo crypt sauce,Developed by WatchIII
monthly Kolporterka Underground letter,KOR Trade unions,prescribed
activist Catholic Club,participant Training Light life,During
he,Suwalki Kresach,supported
LaureatePrimate,posthumously Polonia Restituta,awarded
1976  Garbarz,1977 Garbarska Cooperative,plants
3 V anniversaries,Polish events authors,member of
1989,S intermediation intervention Radom,Delegated
III,WatchV SOR crypt,Developed by WatchV
Włodzimierz Zawadzki,1953 Sokołów Podlasie,born13
16  XII,1981  plant,released from
14  XII,1981  axle,interned in
author,collected Gdańsk Shipyard,declaration
1987–1988,FacultyIII  Dep,worked
Polish Works who,1980 Gdańsk shipyard,From
founder,Journalists,Foprress
pictures,many  publications,used in many
1980  participant,1981 MKommisja Zakładowa,IX
just strike he,Anna Sosnowska,participant in
VIII 1980 occupation IX,1981 W Scha dr,followed by
13  XII,4  XII,interned in
1982  1983,KW MO EC KRPT,Developed by
1959 Jadwiga who,photographic anniversary masses,Archive
State Higher i,Gdańsk Opole,m
Western ZR she,communist  regime,gave legal
first John Paul she,Western SKS information journalists,worked at
translator,there school I,Oben
1979,KW Mo SOR KE KRPT,Wusw in
Wacław Zeman,1952  Jarosław,born22
27 IX 1986,so V crypt,Developed by
Jan Zieja,1897 Ossie K,born1
1981 Map;In editor,martial  law,committed
13  XII,1981  M,wanted
member,Committee  S,will
Tomasz Zieliński,1947  Warsaw,born20
Piotr Ziemieński,1960  Warsaw,born26
worker,armed  underground,During
1981  he,martial breakfast plant,prepared
Wojciech Earth,1961  Tarnów,born17
1980  Member,independent publishing Małopolski,"including""Goniec"
16  XII,1981 Załęże K,interned
13  XII,daily Potulicka Press June,interned in
Decorated Brown,1997 Paltinatus Cuiaviano PomeraniSis,awarded
1990  Górnik,1988 vignette originalSolidarity,subtitle
14  XII,1981  axle,interned in
1977 Spycharper operator,Municipal Operator Economy,works
organizer,departmental Gdańsk Shipyard,In
He,Golden Merit,awarded
1981  organizer,martial WSK law,closed for
first WSK report,discharge,submitted
1940,Poland,Deported to
1945,activist Polish Youth,excluded for
29 Camp IV,Camp University,released
member,1991 ChairmanLegislative Committee,Committee
Kazimierz Ziobro,1949 Nowa Wieś Rzeszów,born12
1976  1982,Jarosław Glass Hut,Employed in
13  XII,1982 Hiche;until hiding,guided by
Honorary Citizen,Golden Merit,awarded
Rokita method,strict  W,considered
Romuald Ziółkowski,1951  Płock,born27
S 24 II,3 III 3 axle,interned in
1981  President,interned Zbigniew packages,interned
Stanisław Złonkiewicz,1933  Volhynia,born7
1981 28 IX 1989,KW Mo EC Krypt,Retracted by WatchIII
organizer,KS,In
29 removal IV,1981 removal Strzebelinki,released
28  VIII,IX 1980 August Agreements,Detained
13  XII,1981 Kielce X,interned in
1981  organizer,revisions Tygodnik home,stopped
Zbigniew Ryszard Zubowski,1950  Puławy,born
Again  employee,Puławy,is
1988  1990,US driver,electronics
7 XI 1981,1981 Polish Site,exceeded
owner,private  publication,From
Cultural 1981,again Sunday guest,were
10 Silesian Medical V,BP,transported to
He,Poland,awarded
VII 1961 VII 1966,WatchIII crypt sauce,Developed by WatchIII
poor IX case,amnesty,discontinued under
1981  he,martial opposition activists,condemned
I,Years,author
13  XII,departmental Eugeniusz Krzysztof Kricki,stopped;15
1981,crypt sauce,Developed by
We,S Kutno land,ix
1981  VII,1982  axle,Integrated in
Julian Jan Żrałko,1934 on27 Złoczów,born
priests,striking  Wałbrzych,chaired
13  XII,1981 coal mine,celebrated
18 Krakow New proceedings,amnesty,discontinued by
13  XII,1981  axle,interned
1981 Provincial he,military  service,refused
24/1981 released;1982 1984,times  apartment,interned in
Author,synthetic rationalization leather,includingin
Jerzy Żebrowski,1937  Kraków,born13
Orthopedist Bandaist,orthopedic  workshop,run
1981  participant,independent Scout Fr,painted anti
where Andrzej he,co Arcade Games Lublin,warned
12  February,1982 KW SOR,worked
1981  VIII,ZR 2 2,interrogated on
twelfth  he,called Power solutions,scheduled for
member,Committee Wieceńsław Nowacki,In
temporary District case,28 Provincial October,discontinued by
Hieronim Żórski,1951  Toruń,born22
independent factory he,1981 Toruń publishing house,continued);seconded
underground Stargard oppositionists,private Leszek support,initiator of
1974  participant,pastoral Gorzów Fr,kept by
1981 protest XII,3 Bydgoszcz XII,action
he,Michelin Polska SA,restored to
1981  1982,SOR crypt,Developed by
Jerzy Żurawiecki,1953 Środa Śląska,born17
14  XII,1981  WZ,obtained for
Bogdan Żurek,1949  Bartoszyce,born17
24 retreat VII,1981 retreat Opole,released
then Founding Chairman,S Scha Region Switzerland,Map;In
1981  she,Poland,return to
7  VII,1981  Gębarzewo,released
14  XII,1981  axle,interned
1999 Stargard Vice,Included M,co
2010 Knight Cross Order,100th Poland independence,Awarded
11  XI,broken brain life,blackmailed
He,Golden Merit,awarded
1980  1981,outz,Developed by
1980 Governing Trade Union,Independent Self Individual Farmers,Service
1981 I Participant,few Ustrzyki Lower,strikes in
13  XII,1981  axle,interned
16  XII,1981  axle,interned
advocate  father,Stanisław documents,told
1980  member,Committee Nszowiek Professional,Przew
1983,also Tygodnik Mazowsze,publishing
14  XII,1981  axle,interned
1989 Municipal Bureau,United States Party,reactivated in
vocational Co -,vocational school vicer,Teacher in
1980  he,Wiesław Kęcik,collaborated with
III  IV,1981 WYDZIV KW Krypt,Sącz under
1969,1983 Folk Zakopane,suspended for
13  XII,Michał Żurek Sunday Mass,released
he,Lusin,runs
Kolporter  subscriber,economic state Wawrzeńczyce,ran
underground  's,our,Let
Think  aim,culture,depth
1974 renovation locksmith,metallurgical processing Bochnia,Ponar in
13  XII,1981 Kielce Rzeszów,interned
19  IX,1983 SOR KRPT,WIAW in
1981  1985,outz,Developed by
he,protesters,supported
1984  member,MPN members,verifying
POLCUL Foundation Awards,approved  Poland,honored
She,fifth Catholic Intelligence Moniko,published in
Piotr Igor Ikonowicz,1956  Pruszków,born15
23 XI V,1982 Warsaw Białołęka,released
Michał Janiszewski,1954  Łochów,born26
10  1985,1986 years amnesty,Detained
1964  1968,crypt case,Developed by
Agnieszka Maciejowska,1953  Warsaw,born15
distinguished  badge,Meritorious Culture Poland,awarded
Ryszard Piekart,1937  Siedlce,born27
14  XII,2 years imprisonment,attempted
member,2010 Management Board,Since
19 24 II,1983  Wydz,Developed by
1989 COMMITTEE COMMITTEE COMMUNITY,Solidarity Nowy transparents,meetings
24  VII,WatchV SOR KRPT,Developed by
1981  he,S  provincePoznan,gave
1983  1985,Kraków KW p,Developed by
5 III 1982,axle,interned
III he,Polish  culture,performed
1980 Co organizer,PBK National Prada,domestic
financial Co - i,financial Co - Huta,m
1983,KW MO SOS SOR KRPT,Developed by
Jan Duda,1960 Nowy Sącz,born17
independent Krakow Executive editor,"Signal"",""Uninterrupted PAPSS Information thoughts",Service
He,Polonia Freedom,awarded
1990 Hutnik Workers i,1990 Hutnik Workers Huta,m
He,2017 Golden Freedom,awarded
16 protest XI,1981  anxiety,interned
Podbeskidz title,2005 Polonia Restituta,awarded
25 IX 1980,ING Polska Sciences,leading at
13  XII,1981  axle,interned in
14  1981–12,MO crypt sauce,worked
1978,officially Wrocław text,Tow
Gurba Krzysztof,1956  Krakow,on8
1983  VII,1985 Sor Krypt,Developed by WYDZThird
13  XII,1981  axle,interned
VI,polygraphic Professional Nystezek,facilities
Kurzyniec Marek,1966  Krakow,born12
1987–26  VII,Unions SOR crypt,Club in
Laskowski Roman,1936 Fly K,born17
-,Polish  language,Co
1981  he,emigration  pulse,cooperated with underground
Laureate,award time them,prizes
22  II,1983 SOR KRPT,MO in
1980  Sympathizer,independent Cracow scriptures,leaflets
1981  VII,1982  axle,interned
